#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;BeardoN7x;BeardoA7x;2533274924115209;0;1000;1000;100;324;424
1;brunopcosta1;brunopcosta1;2535437287890796;0;1000;1000;100;765;865
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;100;463;563
1;CRZYSPZ;CRZYSPZ;2533274896685914;0;1000;1000;100;326;426
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;100;424;524
1;Mort;Mortaigne;2533274924850886;0;1000;1000;100;257;357
1;n0tjack;n0tjack;2533274808155558;0;1000;1000;100;227;327
1;Shadowgasm;Shadowgasm;2736338880739054;0;1000;1000;100;835;935
1;TheSego;The Sego;2533274801846949;0;1000;1000;100;0;100
10;Akosii;Akosii;2533274876129944;0;885;885;0;338;338
11;FunkyOne;Sir Funkified;2533274831236982;0;760;760;0;2;2
12;OneBadMutha;OneBadMutha;2728296738546254;0;650;650;0;0;0
13;Running_Riot;BoutTreeFidy-208;2535457582061110;0;570;570;0;0;0
14;BananaBox39;MaidenLOKO;2533274891998560;0;555;555;0;0;0
15;MrZweistein;MrZweistein;2533274796780325;0;550;550;0;0;0
16;BadMoodJones;Junglee91;2533275020457265;0;490;490;0;318;318
17;PhantomFox;PhantomFox75-460;2535436728258152;0;430;430;0;115;115
18;MMarfil;MMarfil;2533274884719422;0;385;385;0;116;116
19;Plagueborne;The Wicked Soul;2533274925208344;0;365;365;0;838;838
20;SheepDip;Ryuukishi634;2533274841110750;0;320;320;0;201;201
21;dscharles;dscharles;2533275014769270;0;195;195;0;14;14
22;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;180;180;0;799;799
23;Foorbits;Foorbits;2624419068575218;0;135;135;0;2;2
23;Scottish_Sin;Scottish Sin;2533274798575633;0;135;135;0;294;294
25;supercommodore;supercommodore;2533274982646378;0;120;120;0;4;4
26;Bugalugs214;bugalugs214;2535471084374195;0;90;90;0;0;0
26;Xumbrega;ctZz1;2533274892320729;0;90;90;0;0;0
28;Bluehawk357;BlueHawk357;2533274876723326;0;75;75;0;54;54
29;Knottian;Knottian;2533274805216213;0;45;45;0;0;0
30;dfunktjester;dFunkt jestEr;2533274829581469;0;15;15;0;4;4
30;FairyEmpire;baboy1337;2533274848211122;0;15;15;0;766;766
30;xJavontax;xJavontax;2533274819674251;0;15;15;0;17;17
33;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;0;0
33;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;0;0
33;CallMeCraig;matsze;2533274817036922;0;0;0;0;312;312
33;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;0;0
33;low187;ShadowArceus5;2533274870566975;0;0;0;0;168;168
33;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;3;3
33;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;8;8
