#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;705;705;100;824;924
2;Shadowgasm;Shadowgasm;2736338880739054;0;180;180;0;1308;1308
2;MasterLeePhD;Master Lee PhD;2533274793230093;0;150;150;0;625;625
2;n0tjack;n0tjack;2533274808155558;0;140;140;0;419;419
2;FunkyOne;Sir Funkified;2533274831236982;0;120;120;0;12;12
2;Scottish_Sin;Scottish Sin;2533274798575633;0;90;90;0;374;374
2;dscharles;dscharles;2533275014769270;0;80;80;0;23;23
2;TheSego;The Sego;2533274801846949;0;50;50;0;104;104
2;APOPHIS1989;APOPHIS1989;2533274792861176;0;40;40;0;121;121
2;brunopcosta1;brunopcosta1;2535437287890796;0;30;30;0;1216;1216
2;xJavontax;xJavontax;2533274819674251;0;30;30;0;18;18
2;Plagueborne;The Wicked Soul;2533274925208344;0;10;10;0;1088;1088
2;Bugalugs214;bugalugs214;2535471084374195;0;10;10;0;1;1
2;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;19;19
2;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;19;19
2;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;924;924
2;Akosii;Akosii;2533274876129944;0;0;0;0;381;381
2;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;1010;1010
2;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;293;293
2;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;3;3
2;low187;ShadowArceus5;2533274870566975;0;0;0;0;169;169
2;Zonky;Zonky;2535470751963594;0;0;0;0;0;0
2;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;135;135
2;Running_Riot;BoutTreeFidy-208;2535457582061110;0;0;0;0;1;1
2;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;190;190
2;Mort;Mortaigne;2533274924850886;0;0;0;0;362;362
2;CallMeCraig;matsze;2533274817036922;0;0;0;0;385;385
2;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;11;11
2;Knottian;Knottian;2533274805216213;0;0;0;0;0;0
2;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;370;370
2;MMarfil;MMarfil;2533274884719422;0;0;0;0;122;122
2;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;0;0
2;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;4;4
2;Xumbrega;ctZz1;2533274892320729;0;0;0;0;0;0
2;supercommodore;supercommodore;2533274982646378;0;0;0;0;4;4
2;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
2;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;0;0
2;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;3;3
2;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;0;0
2;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;424;424
2;CRZYSPZ;CRZYSPZ;2533274896685914;0;0;0;0;541;541
2;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;54;54
