#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;n0tjack;n0tjack;2533274808155558;0;1000;1000;50;73;123
2;Scottish_Sin;Scottish Sin;2533274798575633;0;595;595;48;12;60
3;ShadowlessEdge;Shadowless Edge;2535418358478334;0;565;565;46;172;218
4;supercommodore;supercommodore;2533274982646378;0;535;535;44;4;48
5;Shadowgasm;Shadowgasm;2736338880739054;0;520;520;42;60;102
6;BadMoodJones;Junglee91;2533275020457265;0;495;495;40;130;170
7;Bugalugs214;bugalugs214;2535471084374195;0;475;475;38;74;112
8;Chyld989;Chyld989;2533274824150207;0;380;380;36;73;109
9;profjjj;profjjj;2533274829351135;0;370;370;34;126;160
10;OneBadMutha;OneBadMutha;2728296738546254;0;355;355;32;21;53
11;DeusJabu;DeusJabu;2535431624153776;0;285;285;30;28;58
12;BeardoN7x;BeardoA7x;2533274924115209;0;250;250;28;128;156
13;brunopcosta1;brunopcosta1;2535437287890796;0;190;190;26;114;140
13;CRZYSPZ;CRZYSPZ;2533274896685914;0;190;190;26;4;30
15;PhantomFox;PhantomFox75-460;2535436728258152;0;140;140;22;57;79
16;Knottian;Knottian;2533274805216213;0;135;135;20;23;43
16;xJavontax;xJavontax;2533274819674251;0;135;135;20;25;45
16;MMarfil;MMarfil;2533274884719422;0;135;135;20;4;24
19;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;125;125;14;14;28
20;BananaBox39;MaidenLOKO;2533274891998560;0;100;100;12;43;55
21;CallMeCraig;matsze;2533274817036922;0;90;90;10;132;142
22;Plagueborne;The Wicked Soul;2533274925208344;0;75;75;8;102;110
22;Xumbrega;ctZz1;2533274892320729;0;75;75;8;11;19
24;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;65;65;4;125;129
25;dscharles;dscharles;2533275014769270;0;55;55;2;9;11
26;MasterLeePhD;Master Lee PhD;2533274793230093;0;35;35;1;89;90
27;low187;ShadowArceus5;2533274870566975;0;30;30;1;56;57
28;Sikamikanico;Sikamikanico;2599622463478870;0;25;25;1;14;15
29;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;114;114
29;Zonky;Zonky;2535470751963594;0;0;0;0;182;182
29;judge;judge;2533274802991000;0;0;0;0;64;64
29;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;156;156
29;Akosii;Akosii;2533274876129944;0;0;0;0;80;80
29;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;57;57
29;Running_Riot;BoutTreeFidy-208;2535457582061110;0;0;0;0;29;29
29;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;30;30
29;Mort;Mortaigne;2533274924850886;0;0;0;0;78;78
29;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;4;4
29;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;129;129
29;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
29;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;15;15
29;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;2;2
29;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;2;2
29;TheSego;The Sego;2533274801846949;0;0;0;0;2;2
