#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;brunopcosta1;brunopcosta1;2535437287890796;0;1000;1000;50;300;350
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;258;308
1;Mort;Mortaigne;2533274924850886;0;1000;1000;50;139;189
4;xJavontax;xJavontax;2533274819674251;0;910;910;44;48;92
5;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;865;865;42;303;345
6;profjjj;profjjj;2533274829351135;0;820;820;40;338;378
7;Knottian;Knottian;2533274805216213;0;745;745;38;130;168
8;n0tjack;n0tjack;2533274808155558;0;730;730;36;231;267
9;PhantomFox;PhantomFox75-460;2535436728258152;0;700;700;34;108;142
10;BadMoodJones;Junglee91;2533275020457265;0;640;640;32;281;313
11;FunkyOne;Sir Funkified;2533274831236982;0;585;585;30;49;79
12;Running_Riot;BoutTreeFidy-208;2535457582061110;0;580;580;28;47;75
13;dscharles;dscharles;2533275014769270;0;565;565;26;16;42
14;Chyld989;Chyld989;2533274824150207;0;495;495;24;210;234
15;Sikamikanico;Sikamikanico;2599622463478870;0;450;450;22;65;87
16;OneBadMutha;OneBadMutha;2728296738546254;0;435;435;20;95;115
17;MMarfil;MMarfil;2533274884719422;0;390;390;18;28;46
18;ShadowlessEdge;Shadowless Edge;2535418358478334;0;375;375;16;394;410
19;UnveiledArk;UnveiledArk;2533274934249959;0;285;285;14;277;291
19;Xumbrega;ctZz1;2533274892320729;0;285;285;14;24;38
19;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;285;285;14;34;48
22;Foorbits;Foorbits;2624419068575218;0;270;270;8;40;48
23;Bugalugs214;bugalugs214;2535471084374195;0;240;240;6;204;210
24;SheepDip;Ryuukishi634;2533274841110750;0;195;195;4;299;303
25;CallMeCraig;matsze;2533274817036922;0;180;180;2;255;257
26;supercommodore;supercommodore;2533274982646378;0;165;165;1;61;62
27;judge;judge;2533274802991000;0;150;150;1;144;145
27;BananaBox39;MaidenLOKO;2533274891998560;0;150;150;1;70;71
29;dfunktjester;dFunkt jestEr;2533274829581469;0;75;75;1;108;109
29;low187;ShadowArceus5;2533274870566975;0;75;75;1;133;134
31;michael;Rngesus37;2535419776788793;0;45;45;1;0;1
32;APOPHIS1989;APOPHIS1989;2533274792861176;0;15;15;1;123;124
32;Scottish_Sin;Scottish Sin;2533274798575633;0;15;15;1;152;153
34;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;326;326
34;Zonky;Zonky;2535470751963594;0;0;0;0;402;402
34;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;101;101
34;Akosii;Akosii;2533274876129944;0;0;0;0;169;169
34;CRZYSPZ;CRZYSPZ;2533274896685914;0;0;0;0;59;59
34;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;229;229
34;TheSego;The Sego;2533274801846949;0;0;0;0;5;5
34;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;9;9
34;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;220;220
34;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;4;4
34;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;170;170
34;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;3;3
