#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;545;545;50;402;452
2;profjjj;profjjj;2533274829351135;0;30;30;48;578;626
2;FunkyOne;Sir Funkified;2533274831236982;0;30;30;48;123;171
4;Plagueborne;The Wicked Soul;2533274925208344;0;15;15;44;618;662
4;ShadowlessEdge;Shadowless Edge;2535418358478334;0;15;15;44;630;674
4;APOPHIS1989;APOPHIS1989;2533274792861176;0;15;15;44;312;356
4;CallMeCraig;matsze;2533274817036922;0;15;15;44;461;505
4;Shadowgasm;Shadowgasm;2736338880739054;0;15;15;44;172;216
9;Zonky;Zonky;2535470751963594;0;0;0;0;668;668
9;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;585;585
9;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;526;526
9;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;389;389
9;low187;ShadowArceus5;2533274870566975;0;0;0;0;196;196
9;Mort;Mortaigne;2533274924850886;0;0;0;0;297;297
9;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;214;214
9;Running_Riot;BoutTreeFidy-208;2535457582061110;0;0;0;0;168;168
9;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;449;449
9;n0tjack;n0tjack;2533274808155558;0;0;0;0;353;353
9;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;48;48
9;judge;judge;2533274802991000;0;0;0;0;292;292
9;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;149;149
9;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;311;311
9;Knottian;Knottian;2533274805216213;0;0;0;0;251;251
9;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;255;255
9;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;373;373
9;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;16;16
9;Akosii;Akosii;2533274876129944;0;0;0;0;310;310
9;dscharles;dscharles;2533275014769270;0;0;0;0;108;108
9;CRZYSPZ;CRZYSPZ;2533274896685914;0;0;0;0;109;109
9;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;138;138
9;Kreten;Cro Kreten;2690766741657668;0;0;0;0;3;3
9;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;472;472
9;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;148;148
9;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;384;384
9;xJavontax;xJavontax;2533274819674251;0;0;0;0;94;94
9;Xumbrega;ctZz1;2533274892320729;0;0;0;0;52;52
9;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;81;81
9;Cyime;Cyime;2533274809898296;0;0;0;0;2;2
9;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;102;102
9;michael;Rngesus37;2535419776788793;0;0;0;0;18;18
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;67;67
9;supercommodore;supercommodore;2533274982646378;0;0;0;0;76;76
9;TheSego;The Sego;2533274801846949;0;0;0;0;8;8
9;MMarfil;MMarfil;2533274884719422;0;0;0;0;49;49
9;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;221;221
9;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;5;5
9;Foorbits;Foorbits;2624419068575218;0;0;0;0;49;49
