#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;0;970;970;50;906;956
1;Zonky;Zonky;2535470751963594;0;970;970;50;834;884
3;CallMeCraig;matsze;2533274817036922;0;880;880;46;574;620
4;Mort;Mortaigne;2533274924850886;0;850;850;44;413;457
5;n0tjack;n0tjack;2533274808155558;0;840;840;42;436;478
6;Bugalugs214;bugalugs214;2535471084374195;0;830;830;40;294;334
7;Chyld989;Chyld989;2533274824150207;0;810;810;38;598;636
8;brunopcosta1;brunopcosta1;2535437287890796;0;790;790;36;515;551
8;FairyEmpire;baboy1337;2533274848211122;0;790;790;36;421;457
10;Plagueborne;The Wicked Soul;2533274925208344;0;710;710;32;884;916
11;APOPHIS1989;APOPHIS1989;2533274792861176;0;680;680;30;476;506
12;Shadowgasm;Shadowgasm;2736338880739054;0;610;610;28;272;300
12;FunkyOne;Sir Funkified;2533274831236982;0;610;610;28;179;207
14;dfunktjester;dFunkt jestEr;2533274829581469;0;600;600;24;225;249
15;SheepDip;Ryuukishi634;2533274841110750;0;560;560;22;581;603
16;low187;ShadowArceus5;2533274870566975;0;540;540;20;298;318
17;profjjj;profjjj;2533274829351135;0;520;520;18;794;812
18;Scottish_Sin;Scottish Sin;2533274798575633;0;510;510;16;423;439
19;michael;Rngesus37;2535419776788793;0;410;410;14;22;36
20;PhantomFox;PhantomFox75-460;2535436728258152;0;400;400;12;153;165
21;Knottian;Knottian;2533274805216213;0;340;340;10;335;345
22;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;320;320;8;744;752
23;Cyime;Cyime;2533274809898296;0;310;310;6;114;120
23;OneBadMutha;OneBadMutha;2728296738546254;0;310;310;6;253;259
25;Sikamikanico;Sikamikanico;2599622463478870;0;300;300;2;174;176
26;supercommodore;supercommodore;2533274982646378;0;270;270;1;81;82
27;MMarfil;MMarfil;2533274884719422;0;260;260;1;54;55
28;BadMoodJones;Junglee91;2533275020457265;0;220;220;1;406;407
29;Xumbrega;ctZz1;2533274892320729;0;200;200;1;57;58
30;Running_Riot;BoutTreeFidy-208;2535457582061110;0;190;190;1;194;195
30;Bluehawk357;BlueHawk357;2533274876723326;0;190;190;1;19;20
32;Foorbits;Foorbits;2624419068575218;0;180;180;1;52;53
32;TheSego;The Sego;2533274801846949;0;180;180;1;23;24
34;Kreten;Cro Kreten;2690766741657668;0;170;170;1;31;32
35;BeardoN7x;BeardoA7x;2533274924115209;0;160;160;1;299;300
36;dscharles;dscharles;2533275014769270;0;150;150;1;128;129
37;MrZweistein;MrZweistein;2533274796780325;0;140;140;1;73;74
37;BananaBox39;MaidenLOKO;2533274891998560;0;140;140;1;112;113
39;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;120;120;1;103;104
40;xJavontax;xJavontax;2533274819674251;0;30;30;1;99;100
41;CRZYSPZ;CRZYSPZ;2533274896685914;0;20;20;1;218;219
42;TheSlickTony;TheSlickTony;2533275010815429;0;10;10;1;30;31
43;Akosii;Akosii;2533274876129944;0;0;0;0;470;470
43;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;200;200
43;judge;judge;2533274802991000;0;0;0;0;407;407
43;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;439;439
43;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;637;637
