#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Akosii;Akosii;2533274876129944;0;1565;1565;50;589;639
2;Zonky;Zonky;2535470751963594;0;1495;1495;48;1064;1112
3;n0tjack;n0tjack;2533274808155558;0;1470;1470;46;579;625
4;UnveiledArk;UnveiledArk;2533274934249959;0;1375;1375;44;475;519
5;Sikamikanico;Sikamikanico;2599622463478870;0;1250;1250;42;229;271
6;MasterLeePhD;Master Lee PhD;2533274793230093;0;1210;1210;40;750;790
7;Mort;Mortaigne;2533274924850886;0;1145;1145;38;572;610
8;low187;ShadowArceus5;2533274870566975;0;1135;1135;36;428;464
9;ShadowlessEdge;Shadowless Edge;2535418358478334;0;1120;1120;34;1180;1214
9;Knottian;Knottian;2533274805216213;0;1120;1120;34;384;418
11;supercommodore;supercommodore;2533274982646378;0;1090;1090;30;103;133
12;CRZYSPZ;CRZYSPZ;2533274896685914;0;1085;1085;28;389;417
13;OneBadMutha;OneBadMutha;2728296738546254;0;1015;1015;26;269;295
14;Mark3;Mark 3;2533274791777168;0;975;975;24;3;27
15;xJavontax;xJavontax;2533274819674251;0;945;945;22;124;146
16;dscharles;dscharles;2533275014769270;0;855;855;20;178;198
17;TheSego;The Sego;2533274801846949;0;820;820;18;28;46
18;PhantomFox;PhantomFox75-460;2535436728258152;0;790;790;16;183;199
19;MrZweistein;MrZweistein;2533274796780325;0;785;785;14;116;130
20;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;755;755;12;121;133
21;Plagueborne;The Wicked Soul;2533274925208344;0;745;745;10;1130;1140
22;Running_Riot;BoutTreeFidy-208;2535457582061110;0;635;635;8;198;206
23;profjjj;profjjj;2533274829351135;0;625;625;6;954;960
24;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;585;585;4;944;948
25;BananaBox39;MaidenLOKO;2533274891998560;0;570;570;2;121;123
26;Foorbits;Foorbits;2624419068575218;0;530;530;1;57;58
27;judge;judge;2533274802991000;0;510;510;1;487;488
28;brunopcosta1;brunopcosta1;2535437287890796;0;505;505;1;650;651
29;BadMoodJones;Junglee91;2533275020457265;0;475;475;1;445;446
30;Bugalugs214;bugalugs214;2535471084374195;0;460;460;1;356;357
31;Xumbrega;ctZz1;2533274892320729;0;450;450;1;63;64
32;Scottish_Sin;Scottish Sin;2533274798575633;0;420;420;1;530;531
32;Cyime;Cyime;2533274809898296;0;420;420;1;248;249
34;SheepDip;Ryuukishi634;2533274841110750;0;385;385;1;773;774
35;Shadowgasm;Shadowgasm;2736338880739054;0;355;355;1;450;451
35;dfunktjester;dFunkt jestEr;2533274829581469;0;355;355;1;291;292
37;FairyEmpire;baboy1337;2533274848211122;0;295;295;1;488;489
38;FunkyOne;Sir Funkified;2533274831236982;0;240;240;1;212;213
39;DeusJabu;DeusJabu;2535431624153776;0;220;220;1;239;240
40;CallMeCraig;matsze;2533274817036922;0;215;215;1;718;719
41;APOPHIS1989;APOPHIS1989;2533274792861176;0;185;185;1;634;635
42;BeardoN7x;BeardoA7x;2533274924115209;0;175;175;1;336;337
43;TheSlickTony;TheSlickTony;2533275010815429;0;75;75;1;36;37
44;michael;Rngesus37;2535419776788793;0;20;20;1;41;42
45;Bluehawk357;BlueHawk357;2533274876723326;0;5;5;1;23;24
46;Chyld989;Chyld989;2533274824150207;0;0;0;0;806;806
46;Kreten;Cro Kreten;2690766741657668;0;0;0;0;37;37
46;MMarfil;MMarfil;2533274884719422;0;0;0;0;58;58
