#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;FunkyOne;Sir Funkified;2533274831236982;0;380;380;50;68;118
2;Chyld989;Chyld989;2533274824150207;0;335;335;48;414;462
3;CallMeCraig;matsze;2533274817036922;0;205;205;46;174;220
4;Plagueborne;The Wicked Soul;2533274925208344;0;75;75;44;191;235
5;profjjj;profjjj;2533274829351135;0;20;20;42;200;242
5;dscharles;dscharles;2533275014769270;0;20;20;42;103;145
5;PhantomFox;PhantomFox75;2535436728258152;0;20;20;42;64;106
5;binarymelon;binarymelon;2533274792088847;0;20;20;42;104;146
9;APOPHIS1989;APOPHIS1989;2533274792861176;0;10;10;34;346;380
9;brunopcosta1;brunopcosta1;2535437287890796;0;10;10;34;291;325
9;Knottian;Knottian;2533274805216213;0;10;10;34;71;105
9;michael;Rngesus37;2535419776788793;0;10;10;34;13;47
9;Bugalugs214;bugalugs214;2535471084374195;0;10;10;34;58;92
14;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;486;486
14;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;484;484
14;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;247;247
14;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;264;264
14;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;302;302
14;n0tjack;n0tjack;2533274808155558;0;0;0;0;175;175
14;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;271;271
14;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;207;207
14;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;155;155
14;Cyime;Cyime;2533274809898296;0;0;0;0;247;247
14;Mort;Mortaigne;2533274924850886;0;0;0;0;138;138
14;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;123;123
14;Akosii;Akosii;2533274876129944;0;0;0;0;160;160
14;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;230;230
14;low187;ShadowArceus5;2533274870566975;0;0;0;0;78;78
14;Zonky;Zonky;2535470751963594;0;0;0;0;165;165
14;Mark3;Mark 3;2533274791777168;0;0;0;0;120;120
14;judge;judge;2533274802991000;0;0;0;0;143;143
14;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;235;235
14;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;85;85
14;Xumbrega;ctZz1;2533274892320729;0;0;0;0;88;88
14;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;77;77
14;supercommodore;supercommodore;2533274982646378;0;0;0;0;85;85
14;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;240;240
14;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;72;72
14;TheSego;The Sego;2533274801846949;0;0;0;0;25;25
14;Kreten;Cro Kreten;2690766741657668;0;0;0;0;52;52
14;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;105;105
14;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;23;23
14;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;45;45
14;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;10;10
14;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;77;77
14;xJavontax;xJavontax;2533274819674251;0;0;0;0;14;14
14;MMarfil;MMarfil;2533274884719422;0;0;0;0;4;4
14;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;21;21
14;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
14;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;46;46
14;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;1;1
14;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;1;1
