#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;0;1000;1000;50;252;302
1;Shadowgasm;Shadowgasm;2736338880739054;0;1000;1000;50;45;95
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;149;199
4;Chyld989;Chyld989;2533274824150207;0;915;915;44;252;296
5;n0tjack;n0tjack;2533274808155558;0;815;815;42;131;173
6;OneBadMutha;OneBadMutha;2728296738546254;0;605;605;40;33;73
7;Running_Riot;BoutTreeFidy-208;2535457582061110;0;370;370;38;30;68
8;BananaBox39;MaidenLOKO;2533274891998560;0;130;130;36;30;66
8;BeardoN7x;BeardoA7x;2533274924115209;0;130;130;36;74;110
10;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;115;115;32;282;314
10;dscharles;dscharles;2533275014769270;0;115;115;32;67;99
10;supercommodore;supercommodore;2533274982646378;0;115;115;32;50;82
10;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;115;115;32;184;216
14;Xumbrega;ctZz1;2533274892320729;0;100;100;24;45;69
14;brunopcosta1;brunopcosta1;2535437287890796;0;100;100;24;181;205
14;profjjj;profjjj;2533274829351135;0;100;100;24;118;142
17;Mark3;Mark 3;2533274791777168;0;40;40;18;82;100
17;DeusJabu;DeusJabu;2535431624153776;0;40;40;18;137;155
17;Scottish_Sin;Scottish Sin;2533274798575633;0;40;40;18;39;57
17;FunkyOne;Sir Funkified;2533274831236982;0;40;40;18;6;24
21;Knottian;Knottian;2533274805216213;0;25;25;10;32;42
21;Bugalugs214;bugalugs214;2535471084374195;0;25;25;10;39;49
21;xJavontax;xJavontax;2533274819674251;0;25;25;10;3;13
24;Bluehawk357;BlueHawk357;2533274876723326;0;10;10;4;14;18
25;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;173;173
25;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;210;210
25;Cyime;Cyime;2533274809898296;0;0;0;0;144;144
25;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;188;188
25;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;98;98
25;judge;judge;2533274802991000;0;0;0;0;60;60
25;Zonky;Zonky;2535470751963594;0;0;0;0;107;107
25;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;24;24
25;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;19;19
25;CallMeCraig;matsze;2533274817036922;0;0;0;0;136;136
25;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;62;62
25;low187;ShadowArceus5;2533274870566975;0;0;0;0;70;70
25;Mort;Mortaigne;2533274924850886;0;0;0;0;107;107
25;TheSego;The Sego;2533274801846949;0;0;0;0;23;23
25;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;50;50
25;Akosii;Akosii;2533274876129944;0;0;0;0;98;98
25;michael;Rngesus37;2535419776788793;0;0;0;0;6;6
25;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;97;97
25;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;6;6
25;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;16;16
25;Kreten;Cro Kreten;2690766741657668;0;0;0;0;32;32
25;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
25;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;18;18
25;MMarfil;MMarfil;2533274884719422;0;0;0;0;2;2
25;binarymelon;binarymelon;2533274792088847;0;0;0;0;0;0
