#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;650;700
2;APOPHIS1989;APOPHIS1989;2533274792861176;0;600;600;48;596;644
3;CallMeCraig;matsze;2533274817036922;0;395;395;46;351;397
4;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;205;205;44;410;454
5;binarymelon;binarymelon;2533274792088847;0;170;170;42;209;251
6;Knottian;Knottian;2533274805216213;0;105;105;40;190;230
7;profjjj;profjjj;2533274829351135;0;60;60;38;267;305
8;ShadowlessEdge;Shadowless Edge;2535418358478334;0;35;35;36;726;762
8;FunkyOne;Sir Funkified;2533274831236982;0;35;35;36;129;165
8;Bugalugs214;bugalugs214;2535471084374195;0;35;35;36;106;142
8;Sikamikanico;Sikamikanico;2599622463478870;0;35;35;36;69;105
12;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;357;357
12;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;281;281
12;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;656;656
12;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;383;383
12;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;406;406
12;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;393;393
12;Cyime;Cyime;2533274809898296;0;0;0;0;318;318
12;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;443;443
12;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;317;317
12;judge;judge;2533274802991000;0;0;0;0;213;213
12;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;347;347
12;Akosii;Akosii;2533274876129944;0;0;0;0;244;244
12;Zonky;Zonky;2535470751963594;0;0;0;0;341;341
12;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;122;122
12;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;86;86
12;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;181;181
12;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;267;267
12;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;117;117
12;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;166;166
12;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;194;194
12;Kreten;Cro Kreten;2690766741657668;0;0;0;0;139;139
12;Mort;Mortaigne;2533274924850886;0;0;0;0;227;227
12;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;128;128
12;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;48;48
12;low187;ShadowArceus5;2533274870566975;0;0;0;0;100;100
12;Xumbrega;ctZz1;2533274892320729;0;0;0;0;93;93
12;michael;Rngesus37;2535419776788793;0;0;0;0;52;52
12;dscharles;dscharles;2533275014769270;0;0;0;0;149;149
12;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;76;76
12;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;44;44
12;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;82;82
12;Mark3;Mark 3;2533274791777168;0;0;0;0;156;156
12;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;36;36
12;supercommodore;supercommodore;2533274982646378;0;0;0;0;164;164
12;n0tjack;n0tjack;2533274808155558;0;0;0;0;177;177
12;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;2;2
12;MMarfil;MMarfil;2533274884719422;0;0;0;0;8;8
12;TheSego;The Sego;2533274801846949;0;0;0;0;47;47
12;xJavontax;xJavontax;2533274819674251;0;0;0;0;15;15
12;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;6;6
12;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
