#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;891;941
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;521;571
1;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;1000;1000;50;547;597
4;CallMeCraig;matsze;2533274817036922;0;930;930;44;564;608
5;Cyime;Cyime;2533274809898296;0;240;240;42;510;552
6;FunkyOne;Sir Funkified;2533274831236982;0;30;30;40;206;246
7;Bugalugs214;bugalugs214;2535471084374195;0;20;20;38;331;369
8;Shadowgasm;Shadowgasm;2736338880739054;0;15;15;36;309;345
9;binarymelon;binarymelon;2533274792088847;0;5;5;34;350;384
10;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;533;533
10;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;946;946
10;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;308;308
10;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;626;626
10;judge;judge;2533274802991000;0;0;0;0;453;453
10;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1086;1086
10;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;803;803
10;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;497;497
10;Zonky;Zonky;2535470751963594;0;0;0;0;645;645
10;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;322;322
10;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;631;631
10;Mort;Mortaigne;2533274924850886;0;0;0;0;361;361
10;profjjj;profjjj;2533274829351135;0;0;0;0;393;393
10;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;499;499
10;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;123;123
10;low187;ShadowArceus5;2533274870566975;0;0;0;0;170;170
10;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;373;373
10;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;65;65
10;MMarfil;MMarfil;2533274884719422;0;0;0;0;13;13
10;Knottian;Knottian;2533274805216213;0;0;0;0;280;280
10;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;129;129
10;supercommodore;supercommodore;2533274982646378;0;0;0;0;227;227
10;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;83;83
10;Running_Riot;BoutTreeFidy-208;2535457582061110;0;0;0;0;211;211
10;xJavontax;xJavontax;2533274819674251;0;0;0;0;18;18
10;Akosii;Akosii;2533274876129944;0;0;0;0;287;287
10;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;45;45
10;n0tjack;n0tjack;2533274808155558;0;0;0;0;183;183
10;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;63;63
10;TheSego;The Sego;2533274801846949;0;0;0;0;51;51
10;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;132;132
10;Mark3;Mark 3;2533274791777168;0;0;0;0;201;201
10;dscharles;dscharles;2533275014769270;0;0;0;0;186;186
10;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;90;90
10;Kreten;Cro Kreten;2690766741657668;0;0;0;0;164;164
10;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;88;88
10;Xumbrega;ctZz1;2533274892320729;0;0;0;0;98;98
10;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;543;543
10;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;161;161
10;michael;Rngesus37;2535419776788793;0;0;0;0;57;57
10;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;49;49
10;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;2;2
10;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
