#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;711;761
1;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;1000;1000;50;702;752
3;n0tjack;n0tjack;2533274808155558;0;680;680;46;230;276
4;supercommodore;supercommodore;2533274982646378;0;160;160;44;244;288
5;binarymelon;binarymelon;2533274792088847;0;60;60;42;398;440
5;dscharles;dscharles;2533275014769270;0;60;60;42;190;232
5;FunkyOne;Sir Funkified;2533274831236982;0;60;60;42;260;302
8;BananaBox39;MaidenLOKO;2533274891998560;0;20;20;36;86;122
9;Knottian;Knottian;2533274805216213;0;10;10;34;297;331
10;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1228;1228
10;Zonky;Zonky;2535470751963594;0;0;0;0;801;801
10;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;626;626
10;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;1128;1128
10;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;569;569
10;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;712;712
10;judge;judge;2533274802991000;0;0;0;0;555;555
10;Chyld989;Chyld989;2533274824150207;0;0;0;0;983;983
10;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;714;714
10;Cyime;Cyime;2533274809898296;0;0;0;0;622;622
10;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;395;395
10;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;456;456
10;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;597;597
10;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;613;613
10;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;927;927
10;CallMeCraig;matsze;2533274817036922;0;0;0;0;692;692
10;profjjj;profjjj;2533274829351135;0;0;0;0;442;442
10;Mort;Mortaigne;2533274924850886;0;0;0;0;446;446
10;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;433;433
10;low187;ShadowArceus5;2533274870566975;0;0;0;0;218;218
10;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;117;117
10;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;544;544
10;Mark3;Mark 3;2533274791777168;0;0;0;0;211;211
10;Akosii;Akosii;2533274876129944;0;0;0;0;346;346
10;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;129;129
10;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;182;182
10;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;215;215
10;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;133;133
10;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;48;48
10;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;355;355
10;MMarfil;MMarfil;2533274884719422;0;0;0;0;16;16
10;michael;Rngesus37;2535419776788793;0;0;0;0;60;60
10;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;91;91
10;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;90;90
10;xJavontax;xJavontax;2533274819674251;0;0;0;0;20;20
10;Xumbrega;ctZz1;2533274892320729;0;0;0;0;98;98
10;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;67;67
10;Kreten;Cro Kreten;2690766741657668;0;0;0;0;166;166
10;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;143;143
10;TheSego;The Sego;2533274801846949;0;0;0;0;54;54
10;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;119;119
10;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;2;2
10;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
