#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;n0tjack;n0tjack;2533274808155558;0;1000;1000;50;423;473
1;Shadowgasm;Shadowgasm;2736338880739054;0;1000;1000;50;446;496
3;Bugalugs214;bugalugs214;2535471084374195;0;950;950;46;1007;1053
4;Mort;Mortaigne;2533274924850886;0;900;900;44;569;613
5;judge;judge;2533274802991000;0;620;620;42;815;857
6;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;420;420;40;861;901
7;PhantomFox;PhantomFox75;2535436728258152;0;350;350;38;189;227
8;profjjj;profjjj;2533274829351135;0;290;290;36;492;528
9;APOPHIS1989;APOPHIS1989;2533274792861176;0;70;70;34;1193;1227
9;Scottish_Sin;Scottish Sin;2533274798575633;0;70;70;34;712;746
11;ShadowlessEdge;Shadowless Edge;2535418358478334;0;40;40;30;1449;1479
12;Chyld989;Chyld989;2533274824150207;0;20;20;28;1157;1185
12;xJavontax;xJavontax;2533274819674251;0;20;20;28;23;51
14;FairyEmpire;baboy1337;2533274848211122;0;10;10;24;835;859
14;DeusJabu;DeusJabu;2535431624153776;0;10;10;24;520;544
14;binarymelon;binarymelon;2533274792088847;0;10;10;24;536;560
14;Sikamikanico;Sikamikanico;2599622463478870;0;10;10;24;207;231
14;dscharles;dscharles;2533275014769270;0;10;10;24;281;305
19;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;900;900
19;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;272;272
19;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;1471;1471
19;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;871;871
19;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;943;943
19;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;260;260
19;Akosii;Akosii;2533274876129944;0;0;0;0;596;596
19;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;988;988
19;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;994;994
19;Zonky;Zonky;2535470751963594;0;0;0;0;951;951
19;CallMeCraig;matsze;2533274817036922;0;0;0;0;834;834
19;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;469;469
19;low187;ShadowArceus5;2533274870566975;0;0;0;0;288;288
19;Cyime;Cyime;2533274809898296;0;0;0;0;726;726
19;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;208;208
19;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;187;187
19;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;167;167
19;Mark3;Mark 3;2533274791777168;0;0;0;0;252;252
19;Knottian;Knottian;2533274805216213;0;0;0;0;383;383
19;supercommodore;supercommodore;2533274982646378;0;0;0;0;325;325
19;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;209;209
19;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;99;99
19;MMarfil;MMarfil;2533274884719422;0;0;0;0;42;42
19;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;309;309
19;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;132;132
19;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;248;248
19;michael;Rngesus37;2535419776788793;0;0;0;0;85;85
19;TheSego;The Sego;2533274801846949;0;0;0;0;71;71
19;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;72;72
19;Xumbrega;ctZz1;2533274892320729;0;0;0;0;100;100
19;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;549;549
19;Kreten;Cro Kreten;2690766741657668;0;0;0;0;172;172
19;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;2;2
19;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
19;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
