#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;950;950;50;1420;1470
2;Chyld989;Chyld989;2533274824150207;0;830;830;48;1077;1125
3;Scottish_Sin;Scottish Sin;2533274798575633;0;730;730;46;648;694
4;Bugalugs214;bugalugs214;2535471084374195;0;645;645;44;913;957
5;n0tjack;n0tjack;2533274808155558;0;585;585;42;341;383
6;binarymelon;binarymelon;2533274792088847;0;550;550;40;495;535
7;TheSlickTony;TheSlickTony;2533275010815429;0;490;490;38;99;137
8;RoslindaleOne;RoslindaleOne;2594261035379451;0;475;475;36;171;207
9;Akosii;Akosii;2533274876129944;0;465;465;34;552;586
9;OneBadMutha;OneBadMutha;2728296738546254;0;465;465;34;97;131
11;Plagueborne;The Wicked Soul;2533274925208344;0;455;455;30;914;944
12;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;295;295;28;805;833
13;MasterLeePhD;Master Lee PhD;2533274793230093;0;280;280;26;960;986
14;Running_Riot;BoutTreeFidy-208;2535457582061110;0;200;200;24;223;247
15;Sikamikanico;Sikamikanico;2599622463478870;0;125;125;22;151;173
16;BananaBox39;MaidenLOKO;2533274891998560;0;100;100;20;166;186
16;dfunktjester;dFunkt jestEr;2533274829581469;0;100;100;20;52;72
18;Knottian;Knottian;2533274805216213;0;75;75;16;343;359
19;Mark3;Mark 3;2533274791777168;0;50;50;14;237;251
20;dscharles;dscharles;2533275014769270;0;25;25;12;265;277
20;MMarfil;MMarfil;2533274884719422;0;25;25;12;29;41
20;TheSego;The Sego;2533274801846949;0;25;25;12;58;70
20;michael;Rngesus37;2535419776788793;0;25;25;12;72;84
24;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;855;855
24;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1411;1411
24;judge;judge;2533274802991000;0;0;0;0;773;773
24;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;917;917
24;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;1147;1147
24;Cyime;Cyime;2533274809898296;0;0;0;0;712;712
24;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;469;469
24;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;209;209
24;low187;ShadowArceus5;2533274870566975;0;0;0;0;287;287
24;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;398;398
24;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;187;187
24;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;815;815
24;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;260;260
24;supercommodore;supercommodore;2533274982646378;0;0;0;0;324;324
24;Mort;Mortaigne;2533274924850886;0;0;0;0;567;567
24;CallMeCraig;matsze;2533274817036922;0;0;0;0;798;798
24;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;899;899
24;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;308;308
24;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;99;99
24;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;519;519
24;profjjj;profjjj;2533274829351135;0;0;0;0;470;470
24;Kreten;Cro Kreten;2690766741657668;0;0;0;0;171;171
24;Zonky;Zonky;2535470751963594;0;0;0;0;945;945
24;xJavontax;xJavontax;2533274819674251;0;0;0;0;23;23
24;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;548;548
24;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;259;259
24;Xumbrega;ctZz1;2533274892320729;0;0;0;0;100;100
24;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;2;2
24;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
24;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
