#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;650;650;50;267;317
2;Shadowgasm;Shadowgasm;2736338880739054;0;525;525;48;666;714
3;APOPHIS1989;APOPHIS1989;2533274792861176;0;450;450;46;441;487
4;Scottish_Sin;Scottish Sin;2533274798575633;0;325;325;44;270;314
5;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;100;100;42;338;380
6;Bugalugs214;bugalugs214;2535471084374195;0;25;25;40;730;770
7;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;564;564
7;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;310;310
7;Akosii;Akosii;2533274876129944;0;0;0;0;409;409
7;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;580;580
7;Mort;Mortaigne;2533274924850886;0;0;0;0;394;394
7;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;406;406
7;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;305;305
7;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;268;268
7;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;145;145
7;low187;ShadowArceus5;2533274870566975;0;0;0;0;210;210
7;CallMeCraig;matsze;2533274817036922;0;0;0;0;321;321
7;n0tjack;n0tjack;2533274808155558;0;0;0;0;431;431
7;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;273;273
7;Cyime;Cyime;2533274809898296;0;0;0;0;182;182
7;TheSego;The Sego;2533274801846949;0;0;0;0;146;146
7;profjjj;profjjj;2533274829351135;0;0;0;0;142;142
7;Kreten;Cro Kreten;2690766741657668;0;0;0;0;84;84
7;judge;judge;2533274802991000;0;0;0;0;297;297
7;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;267;267
7;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;68;68
7;Zonky;Zonky;2535470751963594;0;0;0;0;148;148
7;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;92;92
7;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;57;57
7;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;27;27
7;dscharles;dscharles;2533275014769270;0;0;0;0;96;96
7;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;90;90
7;binarymelon;binarymelon;2533274792088847;0;0;0;0;65;65
7;Mark3;Mark 3;2533274791777168;0;0;0;0;27;27
7;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;83;83
7;Knottian;Knottian;2533274805216213;0;0;0;0;66;66
7;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;67;67
7;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;87;87
7;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;21;21
7;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;49;49
7;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
7;supercommodore;supercommodore;2533274982646378;0;0;0;0;9;9
7;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;12;12
7;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;3;3
7;MMarfil;MMarfil;2533274884719422;0;0;0;0;9;9
7;michael;Rngesus37;2535419776788793;0;0;0;0;7;7
7;xJavontax;xJavontax;2533274819674251;0;0;0;0;35;35
7;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;52;52
7;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;6;6
7;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;4;4
7;Xumbrega;ctZz1;2533274892320729;0;0;0;0;4;4
7;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
7;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
