#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Shadowgasm;Shadowgasm;2736338880739054;0;1000;1000;50;666;716
2;Bugalugs214;bugalugs214;2535471084374195;0;345;345;48;730;778
3;TheSego;The Sego;2533274801846949;0;280;280;46;146;192
4;Bluehawk357;BlueHawk357;2533274876723326;0;120;120;44;90;134
5;n0tjack;n0tjack;2533274808155558;0;70;70;42;431;473
5;dscharles;dscharles;2533275014769270;0;70;70;42;96;138
7;Xumbrega;ctZz1;2533274892320729;0;60;60;38;4;42
8;ShadowlessEdge;Shadowless Edge;2535418358478334;0;30;30;36;580;616
9;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;564;564
9;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;441;441
9;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;310;310
9;Akosii;Akosii;2533274876129944;0;0;0;0;409;409
9;Chyld989;Chyld989;2533274824150207;0;0;0;0;267;267
9;Mort;Mortaigne;2533274924850886;0;0;0;0;394;394
9;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;406;406
9;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;338;338
9;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;305;305
9;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;268;268
9;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;145;145
9;low187;ShadowArceus5;2533274870566975;0;0;0;0;210;210
9;CallMeCraig;matsze;2533274817036922;0;0;0;0;321;321
9;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;273;273
9;Cyime;Cyime;2533274809898296;0;0;0;0;182;182
9;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;270;270
9;profjjj;profjjj;2533274829351135;0;0;0;0;142;142
9;Kreten;Cro Kreten;2690766741657668;0;0;0;0;84;84
9;judge;judge;2533274802991000;0;0;0;0;297;297
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;267;267
9;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;68;68
9;Zonky;Zonky;2535470751963594;0;0;0;0;148;148
9;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;92;92
9;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;57;57
9;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;27;27
9;binarymelon;binarymelon;2533274792088847;0;0;0;0;65;65
9;Mark3;Mark 3;2533274791777168;0;0;0;0;27;27
9;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;83;83
9;Knottian;Knottian;2533274805216213;0;0;0;0;66;66
9;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;67;67
9;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;87;87
9;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;21;21
9;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;49;49
9;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
9;supercommodore;supercommodore;2533274982646378;0;0;0;0;9;9
9;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;12;12
9;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;3;3
9;MMarfil;MMarfil;2533274884719422;0;0;0;0;9;9
9;michael;Rngesus37;2535419776788793;0;0;0;0;7;7
9;xJavontax;xJavontax;2533274819674251;0;0;0;0;35;35
9;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;52;52
9;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;6;6
9;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;4;4
9;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
9;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
