#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;NierlyCrazy;Nierly Crazy;2533274896685914;0;1000;1000;50;554;604
1;Scottish_Sin;Scottish Sin;2533274798575633;0;1000;1000;50;474;524
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;501;551
4;Bugalugs214;bugalugs214;2535471084374195;0;970;970;44;1070;1114
5;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;555;555;42;540;582
6;DeusJabu;DeusJabu;2535431624153776;0;530;530;40;117;157
7;OneBadMutha;OneBadMutha;2728296738546254;0;345;345;38;64;102
8;Xumbrega;ctZz1;2533274892320729;0;330;330;36;9;45
9;judge;judge;2533274802991000;0;250;250;34;475;509
10;profjjj;profjjj;2533274829351135;0;235;235;32;235;267
11;DanCasual;SR1 Dan;2533274803840524;0;120;120;30;35;65
12;Mort;Mortaigne;2533274924850886;0;45;45;28;530;558
12;FunkyOne;Sir Funkified;2533274831236982;0;45;45;28;154;182
14;n0tjack;n0tjack;2533274808155558;0;30;30;24;530;554
14;CallMeCraig;matsze;2533274817036922;0;30;30;24;499;523
14;Mark3;Mark 3;2533274791777168;0;30;30;24;49;73
17;Shadowgasm;Shadowgasm;2736338880739054;0;15;15;18;942;960
17;Plagueborne;The Wicked Soul;2533274925208344;0;15;15;18;826;844
17;low187;ShadowArceus5;2533274870566975;0;15;15;18;370;388
17;SheepDip;Ryuukishi634;2533274841110750;0;15;15;18;400;418
17;binarymelon;binarymelon;2533274792088847;0;15;15;18;76;94
17;dscharles;dscharles;2533275014769270;0;15;15;18;103;121
23;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;739;739
23;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;424;424
23;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;477;477
23;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;323;323
23;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;479;479
23;Akosii;Akosii;2533274876129944;0;0;0;0;548;548
23;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;605;605
23;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;98;98
23;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;85;85
23;Cyime;Cyime;2533274809898296;0;0;0;0;193;193
23;Kreten;Cro Kreten;2690766741657668;0;0;0;0;182;182
23;TheSego;The Sego;2533274801846949;0;0;0;0;158;158
23;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;27;27
23;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;103;103
23;Knottian;Knottian;2533274805216213;0;0;0;0;82;82
23;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;90;90
23;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;70;70
23;xJavontax;xJavontax;2533274819674251;0;0;0;0;38;38
23;Zonky;Zonky;2535470751963594;0;0;0;0;150;150
23;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;106;106
23;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;146;146
23;MMarfil;MMarfil;2533274884719422;0;0;0;0;10;10
23;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;97;97
23;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;39;39
23;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;57;57
23;michael;Rngesus37;2535419776788793;0;0;0;0;9;9
23;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;5;5
23;supercommodore;supercommodore;2533274982646378;0;0;0;0;13;13
23;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;15;15
23;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;4;4
23;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
23;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
