#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;920;920;50;704;754
2;CallMeCraig;matsze;2533274817036922;0;840;840;48;699;747
3;Bugalugs214;bugalugs214;2535471084374195;0;640;640;46;1360;1406
4;BadMoodJones;Junglee91;2533275020457265;0;40;40;44;117;161
5;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;1009;1009
5;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1030;1030
5;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;651;651
5;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;593;593
5;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;482;482
5;judge;judge;2533274802991000;0;0;0;0;594;594
5;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;788;788
5;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;939;939
5;low187;ShadowArceus5;2533274870566975;0;0;0;0;492;492
5;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;601;601
5;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;726;726
5;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;636;636
5;Akosii;Akosii;2533274876129944;0;0;0;0;686;686
5;Mort;Mortaigne;2533274924850886;0;0;0;0;642;642
5;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;725;725
5;Kreten;Cro Kreten;2690766741657668;0;0;0;0;204;204
5;profjjj;profjjj;2533274829351135;0;0;0;0;282;282
5;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;207;207
5;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;95;95
5;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;148;148
5;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;342;342
5;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;231;231
5;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;88;88
5;Mark3;Mark 3;2533274791777168;0;0;0;0;78;78
5;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;151;151
5;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;138;138
5;n0tjack;n0tjack;2533274808155558;0;0;0;0;636;636
5;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;61;61
5;Knottian;Knottian;2533274805216213;0;0;0;0;110;110
5;binarymelon;binarymelon;2533274792088847;0;0;0;0;125;125
5;dscharles;dscharles;2533275014769270;0;0;0;0;126;126
5;Cyime;Cyime;2533274809898296;0;0;0;0;213;213
5;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;97;97
5;TheSego;The Sego;2533274801846949;0;0;0;0;181;181
5;Xumbrega;ctZz1;2533274892320729;0;0;0;0;47;47
5;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;106;106
5;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;121;121
5;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;109;109
5;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;146;146
5;xJavontax;xJavontax;2533274819674251;0;0;0;0;39;39
5;supercommodore;supercommodore;2533274982646378;0;0;0;0;28;28
5;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;5;5
5;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;32;32
5;michael;Rngesus37;2535419776788793;0;0;0;0;10;10
5;Zonky;Zonky;2535470751963594;0;0;0;0;151;151
5;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;148;148
5;MMarfil;MMarfil;2533274884719422;0;0;0;0;10;10
5;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;5;5
5;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
5;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
