#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;940;940;50;715;765
2;UnveiledArk;UnveiledArk;2533274934249959;0;760;760;48;795;843
3;NierlyCrazy;Nierly Crazy;2533274896685914;0;740;740;46;908;954
4;Bluehawk357;BlueHawk357;2533274876723326;0;635;635;44;183;227
5;Sikamikanico;Sikamikanico;2599622463478870;0;610;610;42;143;185
6;dfunktjester;dFunkt jestEr;2533274829581469;0;560;560;40;132;172
7;Mark3;Mark 3;2533274791777168;0;480;480;38;83;121
8;OneBadMutha;OneBadMutha;2728296738546254;0;475;475;36;149;185
9;BananaBox39;MaidenLOKO;2533274891998560;0;390;390;34;200;234
10;michael;Rngesus37;2535419776788793;0;305;305;32;13;45
11;profjjj;profjjj;2533274829351135;0;245;245;30;302;332
11;Shadowgasm;Shadowgasm;2736338880739054;0;245;245;30;1094;1124
13;TheSego;The Sego;2533274801846949;0;220;220;26;184;210
14;n0tjack;n0tjack;2533274808155558;0;200;200;24;706;730
15;low187;ShadowArceus5;2533274870566975;0;180;180;22;606;628
16;Bugalugs214;bugalugs214;2535471084374195;0;160;160;20;1654;1674
16;DeusJabu;DeusJabu;2535431624153776;0;160;160;20;317;337
18;Knottian;Knottian;2533274805216213;0;140;140;16;142;158
19;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;100;100;14;990;1004
19;MrZweistein;MrZweistein;2533274796780325;0;100;100;14;149;163
19;judge;judge;2533274802991000;0;100;100;14;712;726
19;SheepDip;Ryuukishi634;2533274841110750;0;100;100;14;614;628
19;FunkyOne;Sir Funkified;2533274831236982;0;100;100;14;241;255
19;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;100;100;14;376;390
19;xJavontax;xJavontax;2533274819674251;0;100;100;14;40;54
26;BadMoodJones;Junglee91;2533275020457265;0;40;40;1;195;196
27;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1234;1234
27;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1139;1139
27;Chyld989;Chyld989;2533274824150207;0;0;0;0;976;976
27;Akosii;Akosii;2533274876129944;0;0;0;0;817;817
27;CallMeCraig;matsze;2533274817036922;0;0;0;0;885;885
27;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;862;862
27;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;697;697
27;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;718;718
27;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;178;178
27;Mort;Mortaigne;2533274924850886;0;0;0;0;655;655
27;binarymelon;binarymelon;2533274792088847;0;0;0;0;134;134
27;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;146;146
27;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;115;115
27;Cyime;Cyime;2533274809898296;0;0;0;0;244;244
27;supercommodore;supercommodore;2533274982646378;0;0;0;0;32;32
27;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;36;36
27;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;192;192
27;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;153;153
27;Kreten;Cro Kreten;2690766741657668;0;0;0;0;206;206
27;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;64;64
27;dscharles;dscharles;2533275014769270;0;0;0;0;131;131
27;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
27;Xumbrega;ctZz1;2533274892320729;0;0;0;0;49;49
27;Zonky;Zonky;2535470751963594;0;0;0;0;154;154
27;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;5;5
27;MMarfil;MMarfil;2533274884719422;0;0;0;0;15;15
27;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;5;5
27;DannySuperb;Danny Superb;2535423690428067;0;0;0;0;0;0
