#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;620;620;50;338;388
2;n0tjack;n0tjack;2533274808155558;0;370;370;48;336;384
3;UnveiledArk;UnveiledArk;2533274934249959;0;240;240;46;142;188
4;Mort;Mortaigne;2533274924850886;0;180;180;44;186;230
5;judge;judge;2533274802991000;0;135;135;42;271;313
6;BananaBox39;MaidenLOKO;2533274891998560;0;105;105;40;24;64
7;dscharles;dscharles;2533275014769270;0;90;90;38;11;49
8;FunkyOne;Sir Funkified;2533274831236982;0;75;75;36;74;110
9;ShadowlessEdge;Shadowless Edge;2535418358478334;0;60;60;34;384;418
9;BadMoodJones;Junglee91;2533275020457265;0;60;60;34;51;85
9;Xumbrega;ctZz1;2533274892320729;0;60;60;34;30;64
12;Bugalugs214;bugalugs214;2535471084374195;0;30;30;28;492;520
12;Scottish_Sin;Scottish Sin;2533274798575633;0;30;30;28;158;186
14;Chyld989;Chyld989;2533274824150207;0;15;15;24;140;164
14;DeusJabu;DeusJabu;2535431624153776;0;15;15;24;206;230
14;michael;Rngesus37;2535419776788793;0;15;15;24;31;55
14;low187;ShadowArceus5;2533274870566975;0;15;15;24;131;155
14;xJavontax;xJavontax;2533274819674251;0;15;15;24;4;28
19;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;362;362
19;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;254;254
19;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;221;221
19;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;287;287
19;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;320;320
19;CallMeCraig;matsze;2533274817036922;0;0;0;0;255;255
19;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;76;76
19;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;230;230
19;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;213;213
19;Akosii;Akosii;2533274876129944;0;0;0;0;95;95
19;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;132;132
19;TangHao;Amir-8983;2535432952508207;0;0;0;0;195;195
19;Cyime;Cyime;2533274809898296;0;0;0;0;149;149
19;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;69;69
19;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;39;39
19;Mark3;Mark 3;2533274791777168;0;0;0;0;38;38
19;Knottian;Knottian;2533274805216213;0;0;0;0;62;62
19;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;27;27
19;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;30;30
19;TheSego;The Sego;2533274801846949;0;0;0;0;24;24
19;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;32;32
19;Kreten;Cro Kreten;2690766741657668;0;0;0;0;22;22
19;binarymelon;binarymelon;2533274792088847;0;0;0;0;14;14
19;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;20;20
19;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;3;3
19;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;32;32
19;profjjj;profjjj;2533274829351135;0;0;0;0;7;7
19;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;12;12
19;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;7;7
19;supercommodore;supercommodore;2533274982646378;0;0;0;0;26;26
19;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;25;25
19;MMarfil;MMarfil;2533274884719422;0;0;0;0;4;4
19;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;2;2
19;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;0;0
19;Zonky;Zonky;2535470751963594;0;0;0;0;0;0
19;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
19;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;67;67
