#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;NierlyCrazy;Nierly Crazy;2533274896685914;0;645;645;50;172;222
2;SheepDip;Ryuukishi634;2533274841110750;0;365;365;48;112;160
3;DeusJabu;DeusJabu;2535431624153776;0;140;140;46;92;138
4;CallMeCraig;matsze;2533274817036922;0;105;105;44;151;195
5;Bugalugs214;bugalugs214;2535471084374195;0;85;85;42;300;342
6;n0tjack;n0tjack;2533274808155558;0;10;10;40;204;244
6;TangHao;Amir-8983;2535432952508207;0;10;10;40;88;128
8;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;274;274
8;judge;judge;2533274802991000;0;0;0;0;201;201
8;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;244;244
8;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;111;111
8;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;204;204
8;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;198;198
8;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;147;147
8;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;123;123
8;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;234;234
8;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;39;39
8;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;124;124
8;Mort;Mortaigne;2533274924850886;0;0;0;0;141;141
8;supercommodore;supercommodore;2533274982646378;0;0;0;0;23;23
8;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;31;31
8;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;98;98
8;TheSego;The Sego;2533274801846949;0;0;0;0;22;22
8;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;11;11
8;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;55;55
8;Running_Riot;BoutTreeFidy-208;2535457582061110;0;0;0;0;8;8
8;MMarfil;MMarfil;2533274884719422;0;0;0;0;3;3
8;xJavontax;xJavontax;2533274819674251;0;0;0;0;3;3
8;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;6;6
8;profjjj;profjjj;2533274829351135;0;0;0;0;5;5
8;Xumbrega;ctZz1;2533274892320729;0;0;0;0;27;27
8;Chyld989;Chyld989;2533274824150207;0;0;0;0;120;120
8;Cyime;Cyime;2533274809898296;0;0;0;0;53;53
8;michael;Rngesus37;2535419776788793;0;0;0;0;9;9
8;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;36;36
8;Mark3;Mark 3;2533274791777168;0;0;0;0;35;35
8;binarymelon;binarymelon;2533274792088847;0;0;0;0;11;11
8;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;6;6
8;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;25;25
8;Kreten;Cro Kreten;2690766741657668;0;0;0;0;17;17
8;low187;ShadowArceus5;2533274870566975;0;0;0;0;15;15
8;Knottian;Knottian;2533274805216213;0;0;0;0;37;37
8;Akosii;Akosii;2533274876129944;0;0;0;0;71;71
8;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;31;31
8;dscharles;dscharles;2533275014769270;0;0;0;0;7;7
8;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;19;19
8;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;76;76
8;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;4;4
8;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;7;7
8;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;2;2
8;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;3;3
8;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;0;0
8;Zonky;Zonky;2535470751963594;0;0;0;0;0;0
8;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
8;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;0;0
