#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;100;100;50;530;580
2;dscharles;dscharles;2533275014769270;0;50;50;48;54;102
3;Bugalugs214;bugalugs214;2535471084374195;0;20;20;46;766;812
3;n0tjack;n0tjack;2533274808155558;0;20;20;46;506;552
5;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;499;499
5;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;558;558
5;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;520;520
5;low187;ShadowArceus5;2533274870566975;0;0;0;0;256;256
5;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;498;498
5;judge;judge;2533274802991000;0;0;0;0;452;452
5;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;352;352
5;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;395;395
5;CallMeCraig;matsze;2533274817036922;0;0;0;0;393;393
5;Cyime;Cyime;2533274809898296;0;0;0;0;265;265
5;TangHao;Amir-8983;2535432952508207;0;0;0;0;225;225
5;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;306;306
5;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;350;350
5;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;184;184
5;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;371;371
5;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;83;83
5;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;291;291
5;Mort;Mortaigne;2533274924850886;0;0;0;0;331;331
5;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;154;154
5;Chyld989;Chyld989;2533274824150207;0;0;0;0;196;196
5;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;331;331
5;supercommodore;supercommodore;2533274982646378;0;0;0;0;59;59
5;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;60;60
5;Knottian;Knottian;2533274805216213;0;0;0;0;69;69
5;Akosii;Akosii;2533274876129944;0;0;0;0;132;132
5;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;104;104
5;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;88;88
5;michael;Rngesus37;2535419776788793;0;0;0;0;81;81
5;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;212;212
5;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;22;22
5;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;34;34
5;Xumbrega;ctZz1;2533274892320729;0;0;0;0;68;68
5;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;88;88
5;profjjj;profjjj;2533274829351135;0;0;0;0;16;16
5;MMarfil;MMarfil;2533274884719422;0;0;0;0;7;7
5;TheSego;The Sego;2533274801846949;0;0;0;0;67;67
5;binarymelon;binarymelon;2533274792088847;0;0;0;0;42;42
5;Kreten;Cro Kreten;2690766741657668;0;0;0;0;24;24
5;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;15;15
5;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;40;40
5;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;41;41
5;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;30;30
5;xJavontax;xJavontax;2533274819674251;0;0;0;0;30;30
5;Mark3;Mark 3;2533274791777168;0;0;0;0;42;42
5;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;6;6
5;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;76;76
5;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;7;7
5;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;2;2
5;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;0;0
5;Zonky;Zonky;2535470751963594;0;0;0;0;1;1
5;Foorbits;Foorbits;2624419068575218;0;0;0;0;1;1
