#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;1120;1120;50;391;441
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1120;1120;50;796;846
3;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;555;555;46;754;800
4;FunkyOne;Sir Funkified;2533274831236982;0;525;525;44;213;257
5;low187;ShadowArceus5;2533274870566975;0;405;405;42;288;330
6;dfunktjester;dFunkt jestEr;2533274829581469;0;390;390;40;121;161
7;UnveiledArk;UnveiledArk;2533274934249959;0;360;360;38;490;528
8;n0tjack;n0tjack;2533274808155558;0;345;345;36;710;746
9;dscharles;dscharles;2533275014769270;0;270;270;34;161;195
10;Bugalugs214;bugalugs214;2535471084374195;0;255;255;32;1084;1116
11;Scottish_Sin;Scottish Sin;2533274798575633;0;150;150;30;482;512
11;Knottian;Knottian;2533274805216213;0;150;150;30;93;123
13;Plagueborne;The Wicked Soul;2533274925208344;0;135;135;26;690;716
14;profjjj;profjjj;2533274829351135;0;110;110;24;22;46
15;TheSego;The Sego;2533274801846949;0;85;85;22;79;101
16;OneBadMutha;OneBadMutha;2728296738546254;0;55;55;20;88;108
17;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;508;508
17;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;641;641
17;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;746;746
17;judge;judge;2533274802991000;0;0;0;0;668;668
17;Mort;Mortaigne;2533274924850886;0;0;0;0;444;444
17;CallMeCraig;matsze;2533274817036922;0;0;0;0;545;545
17;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;446;446
17;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;524;524
17;Cyime;Cyime;2533274809898296;0;0;0;0;309;309
17;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;419;419
17;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;121;121
17;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;455;455
17;Akosii;Akosii;2533274876129944;0;0;0;0;190;190
17;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;206;206
17;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;119;119
17;Chyld989;Chyld989;2533274824150207;0;0;0;0;301;301
17;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;218;218
17;supercommodore;supercommodore;2533274982646378;0;0;0;0;62;62
17;binarymelon;binarymelon;2533274792088847;0;0;0;0;84;84
17;michael;Rngesus37;2535419776788793;0;0;0;0;85;85
17;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;110;110
17;Mark3;Mark 3;2533274791777168;0;0;0;0;43;43
17;Xumbrega;ctZz1;2533274892320729;0;0;0;0;73;73
17;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;30;30
17;TangHao;Amir-8983;2535432952508207;0;0;0;0;227;227
17;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;32;32
17;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;145;145
17;MMarfil;MMarfil;2533274884719422;0;0;0;0;17;17
17;Kreten;Cro Kreten;2690766741657668;0;0;0;0;29;29
17;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;9;9
17;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;84;84
17;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;98;98
17;Zonky;Zonky;2535470751963594;0;0;0;0;4;4
17;xJavontax;xJavontax;2533274819674251;0;0;0;0;31;31
17;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;39;39
17;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
17;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;7;7
17;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;2;2
17;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;0;0
