#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;1262;1312
1;CallMeCraig;matsze;2533274817036922;0;1000;1000;50;875;925
1;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;1000;1000;50;689;739
4;Shadowgasm;Shadowgasm;2736338880739054;0;60;60;44;270;314
5;Bugalugs214;bugalugs214;2535471084374195;0;20;20;42;1574;1616
5;binarymelon;binarymelon;2533274792088847;0;20;20;42;221;263
7;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1103;1103
7;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;1306;1306
7;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1105;1105
7;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;245;245
7;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;672;672
7;Akosii;Akosii;2533274876129944;0;0;0;0;386;386
7;judge;judge;2533274802991000;0;0;0;0;1036;1036
7;n0tjack;n0tjack;2533274808155558;0;0;0;0;994;994
7;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;727;727
7;Chyld989;Chyld989;2533274824150207;0;0;0;0;639;639
7;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;845;845
7;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;777;777
7;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;696;696
7;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;314;314
7;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;731;731
7;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;705;705
7;Mort;Mortaigne;2533274924850886;0;0;0;0;600;600
7;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;631;631
7;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;364;364
7;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;172;172
7;low187;ShadowArceus5;2533274870566975;0;0;0;0;395;395
7;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;334;334
7;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;147;147
7;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;249;249
7;Knottian;Knottian;2533274805216213;0;0;0;0;151;151
7;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;191;191
7;michael;Rngesus37;2535419776788793;0;0;0;0;118;118
7;dscharles;dscharles;2533275014769270;0;0;0;0;238;238
7;profjjj;profjjj;2533274829351135;0;0;0;0;110;110
7;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;130;130
7;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;232;232
7;Mark3;Mark 3;2533274791777168;0;0;0;0;63;63
7;Cyime;Cyime;2533274809898296;0;0;0;0;317;317
7;TheSego;The Sego;2533274801846949;0;0;0;0;141;141
7;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;46;46
7;MMarfil;MMarfil;2533274884719422;0;0;0;0;57;57
7;Zonky;Zonky;2535470751963594;0;0;0;0;7;7
7;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;59;59
7;Xumbrega;ctZz1;2533274892320729;0;0;0;0;77;77
7;Kreten;Cro Kreten;2690766741657668;0;0;0;0;35;35
7;xJavontax;xJavontax;2533274819674251;0;0;0;0;33;33
7;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;14;14
7;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;89;89
7;supercommodore;supercommodore;2533274982646378;0;0;0;0;66;66
7;TangHao;Amir-8983;2535432952508207;0;0;0;0;296;296
7;Foorbits;Foorbits;2624419068575218;0;0;0;0;2;2
7;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;7;7
7;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;4;4
7;Bluehawk357;BlueHawk357;2533274876723326;0;0;0;0;0;0
