#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;970;970;50;449;499
2;SheepDip;Ryuukishi634;2533274841110750;0;860;860;48;390;438
3;MasterLeePhD;Master Lee PhD;2533274793230093;0;850;850;46;526;572
4;OneBadMutha;OneBadMutha;2728296738546254;0;740;740;44;109;153
5;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;670;670;42;532;574
6;profjjj;profjjj;2533274829351135;0;660;660;40;125;165
7;MrZweistein;MrZweistein;2533274796780325;0;640;640;38;163;201
8;DeusJabu;DeusJabu;2535431624153776;0;580;580;36;427;463
8;low187;ShadowArceus5;2533274870566975;0;580;580;36;138;174
10;APOPHIS1989;APOPHIS1989;2533274792861176;0;570;570;32;342;374
11;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;540;540;30;672;702
12;Plagueborne;The Wicked Soul;2533274925208344;0;510;510;28;560;588
13;BadMoodJones;Junglee91;2533275020457265;0;500;500;26;146;172
14;Mort;Mortaigne;2533274924850886;0;490;490;24;107;131
15;Bugalugs214;bugalugs214;2535471084374195;0;480;480;22;392;414
16;NierlyCrazy;Nierly Crazy;2533274896685914;0;420;420;20;395;415
16;ShadowlessEdge;Shadowless Edge;2535418358478334;0;420;420;20;594;614
18;UnveiledArk;UnveiledArk;2533274934249959;0;390;390;16;321;337
19;FunkyOne;Sir Funkified;2533274831236982;0;370;370;14;81;95
20;n0tjack;n0tjack;2533274808155558;0;340;340;12;264;276
20;BananaBox39;MaidenLOKO;2533274891998560;0;340;340;12;168;180
22;Shadowgasm;Shadowgasm;2736338880739054;0;330;330;8;158;166
23;Akosii;Akosii;2533274876129944;0;310;310;6;306;312
24;Sikamikanico;Sikamikanico;2599622463478870;0;300;300;4;37;41
25;Knottian;Knottian;2533274805216213;0;290;290;2;158;160
26;binarymelon;binarymelon;2533274792088847;0;240;240;1;307;308
27;RoslindaleOne;RoslindaleOne;2594261035379451;0;230;230;1;57;58
28;Xumbrega;ctZz1;2533274892320729;0;220;220;1;7;8
29;TheSlickTony;TheSlickTony;2533275010815429;0;200;200;1;77;78
30;michael;Rngesus37;2535419776788793;0;140;140;1;36;37
31;judge;judge;2533274802991000;0;90;90;1;469;470
32;DanCasual;SR1 Dan;2533274803840524;0;80;80;1;7;8
33;Scottish_Sin;Scottish Sin;2533274798575633;0;70;70;1;350;351
33;Mark3;Mark 3;2533274791777168;0;70;70;1;37;38
35;BeardoN7x;BeardoA7x;2533274924115209;0;50;50;1;44;45
36;CallMeCraig;matsze;2533274817036922;0;40;40;1;596;597
36;dscharles;dscharles;2533275014769270;0;40;40;1;228;229
36;brunopcosta1;brunopcosta1;2535437287890796;0;40;40;1;3;4
39;TheSego;The Sego;2533274801846949;0;30;30;1;39;40
40;dfunktjester;dFunkt jestEr;2533274829581469;0;20;20;1;333;334
40;BigM_Milk4;BigMMilk-9208;2533274975549845;0;20;20;1;70;71
40;TangHao;Amir-8983;2535432952508207;0;20;20;1;5;6
43;xJavontax;xJavontax;2533274819674251;0;10;10;1;2;3
44;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;419;419
44;Cyime;Cyime;2533274809898296;0;0;0;0;81;81
44;Zonky;Zonky;2535470751963594;0;0;0;0;35;35
44;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;13;13
44;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;38;38
44;Kreten;Cro Kreten;2690766741657668;0;0;0;0;8;8
44;MMarfil;MMarfil;2533274884719422;0;0;0;0;12;12
44;Foorbits;Foorbits;2624419068575218;0;0;0;0;3;3
44;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;0;0
44;supercommodore;supercommodore;2533274982646378;0;0;0;0;4;4
44;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;0;0
