#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;CallMeCraig;matsze;2533274817036922;0;1000;1000;50;819;869
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;729;779
1;n0tjack;n0tjack;2533274808155558;0;1000;1000;50;449;499
1;Sikamikanico;Sikamikanico;2599622463478870;0;1000;1000;50;131;181
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;671;721
1;Mort;Mortaigne;2533274924850886;0;1000;1000;50;252;302
7;Knottian;Knottian;2533274805216213;0;180;180;38;286;324
8;profjjj;profjjj;2533274829351135;0;130;130;36;184;220
9;ShadowlessEdge;Shadowless Edge;2535418358478334;0;85;85;34;857;891
9;Bugalugs214;bugalugs214;2535471084374195;0;85;85;34;477;511
9;FunkyOne;Sir Funkified;2533274831236982;0;85;85;34;126;160
12;DeusJabu;DeusJabu;2535431624153776;0;50;50;28;549;577
13;OneBadMutha;OneBadMutha;2728296738546254;0;35;35;26;189;215
14;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;856;856
14;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;613;613
14;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;956;956
14;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;542;542
14;judge;judge;2533274802991000;0;0;0;0;678;678
14;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;405;405
14;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;539;539
14;Akosii;Akosii;2533274876129944;0;0;0;0;395;395
14;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;624;624
14;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;515;515
14;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;630;630
14;low187;ShadowArceus5;2533274870566975;0;0;0;0;213;213
14;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;163;163
14;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;219;219
14;dscharles;dscharles;2533275014769270;0;0;0;0;250;250
14;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;223;223
14;binarymelon;binarymelon;2533274792088847;0;0;0;0;368;368
14;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;475;475
14;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;79;79
14;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;48;48
14;michael;Rngesus37;2535419776788793;0;0;0;0;78;78
14;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;190;190
14;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;216;216
14;supercommodore;supercommodore;2533274982646378;0;0;0;0;66;66
14;TheSego;The Sego;2533274801846949;0;0;0;0;61;61
14;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;45;45
14;Xumbrega;ctZz1;2533274892320729;0;0;0;0;11;11
14;Cyime;Cyime;2533274809898296;0;0;0;0;82;82
14;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;72;72
14;TangHao;Amir-8983;2535432952508207;0;0;0;0;21;21
14;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;10;10
14;Mark3;Mark 3;2533274791777168;0;0;0;0;41;41
14;xJavontax;xJavontax;2533274819674251;0;0;0;0;4;4
14;Kreten;Cro Kreten;2690766741657668;0;0;0;0;31;31
14;MMarfil;MMarfil;2533274884719422;0;0;0;0;20;20
14;Zonky;Zonky;2535470751963594;0;0;0;0;38;38
14;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;16;16
14;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;13;13
14;Foorbits;Foorbits;2624419068575218;0;0;0;0;3;3
14;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;0;0
14;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;0;0
