#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Mort;Mortaigne;2533274924850886;0;1000;1000;50;435;485
1;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;1000;1000;50;1080;1130
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;953;1003
1;CallMeCraig;matsze;2533274817036922;0;1000;1000;50;1041;1091
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;795;845
1;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;1000;1000;50;769;819
7;DeusJabu;DeusJabu;2535431624153776;0;400;400;38;703;741
8;Sikamikanico;Sikamikanico;2599622463478870;0;340;340;36;196;232
9;FunkyOne;Sir Funkified;2533274831236982;0;210;210;34;184;218
9;profjjj;profjjj;2533274829351135;0;210;210;34;268;302
11;Shadowgasm;Shadowgasm;2736338880739054;0;100;100;30;243;273
12;judge;judge;2533274802991000;0;80;80;28;866;894
12;n0tjack;n0tjack;2533274808155558;0;80;80;28;549;577
12;Knottian;Knottian;2533274805216213;0;80;80;28;418;446
12;binarymelon;binarymelon;2533274792088847;0;80;80;28;383;411
16;Bugalugs214;bugalugs214;2535471084374195;0;60;60;20;537;557
16;dscharles;dscharles;2533275014769270;0;60;60;20;266;286
18;Foorbits;Foorbits;2624419068575218;0;40;40;16;16;32
19;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1086;1086
19;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1109;1109
19;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;609;609
19;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;667;667
19;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;754;754
19;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;711;711
19;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;659;659
19;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;619;619
19;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;223;223
19;supercommodore;supercommodore;2533274982646378;0;0;0;0;87;87
19;Akosii;Akosii;2533274876129944;0;0;0;0;475;475
19;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;219;219
19;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;250;250
19;michael;Rngesus37;2535419776788793;0;0;0;0;82;82
19;low187;ShadowArceus5;2533274870566975;0;0;0;0;215;215
19;Kreten;Cro Kreten;2690766741657668;0;0;0;0;66;66
19;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;465;465
19;TheSego;The Sego;2533274801846949;0;0;0;0;80;80
19;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;216;216
19;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;17;17
19;TangHao;Amir-8983;2535432952508207;0;0;0;0;77;77
19;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;223;223
19;MMarfil;MMarfil;2533274884719422;0;0;0;0;24;24
19;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;54;54
19;Xumbrega;ctZz1;2533274892320729;0;0;0;0;14;14
19;Mark3;Mark 3;2533274791777168;0;0;0;0;73;73
19;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;13;13
19;Zonky;Zonky;2535470751963594;0;0;0;0;39;39
19;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;83;83
19;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;47;47
19;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;212;212
19;Cyime;Cyime;2533274809898296;0;0;0;0;82;82
19;xJavontax;xJavontax;2533274819674251;0;0;0;0;4;4
19;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;67;67
19;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;0;0
19;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;0;0
19;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;0;0
19;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;79;79
