#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;1136;1186
2;PhantomFox;PhantomFox75;2535436728258152;0;515;515;48;119;167
3;Foorbits;Foorbits;2624419068575218;0;240;240;46;57;103
4;APOPHIS1989;APOPHIS1989;2533274792861176;0;210;210;44;867;911
4;MasterLeePhD;Master Lee PhD;2533274793230093;0;210;210;44;934;978
6;TheAshCohen09;TheAshCohen09;2533274856167909;0;60;60;40;297;337
6;Scottish_Sin;Scottish Sin;2533274798575633;0;60;60;40;760;800
6;binarymelon;binarymelon;2533274792088847;0;60;60;40;459;499
9;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;266;266
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;949;949
9;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1278;1278
9;judge;judge;2533274802991000;0;0;0;0;1122;1122
9;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;1351;1351
9;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;823;823
9;CallMeCraig;matsze;2533274817036922;0;0;0;0;1267;1267
9;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;952;952
9;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;1330;1330
9;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;839;839
9;Mort;Mortaigne;2533274924850886;0;0;0;0;509;509
9;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;832;832
9;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;551;551
9;Knottian;Knottian;2533274805216213;0;0;0;0;602;602
9;Akosii;Akosii;2533274876129944;0;0;0;0;502;502
9;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;789;789
9;profjjj;profjjj;2533274829351135;0;0;0;0;354;354
9;TangHao;Amir-8983;2535432952508207;0;0;0;0;241;241
9;Mark3;Mark 3;2533274791777168;0;0;0;0;75;75
9;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;292;292
9;Kreten;Cro Kreten;2690766741657668;0;0;0;0;73;73
9;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;254;254
9;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;291;291
9;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;236;236
9;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;221;221
9;dscharles;dscharles;2533275014769270;0;0;0;0;291;291
9;n0tjack;n0tjack;2533274808155558;0;0;0;0;578;578
9;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;59;59
9;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;83;83
9;supercommodore;supercommodore;2533274982646378;0;0;0;0;145;145
9;michael;Rngesus37;2535419776788793;0;0;0;0;85;85
9;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;560;560
9;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;313;313
9;MMarfil;MMarfil;2533274884719422;0;0;0;0;37;37
9;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;257;257
9;Xumbrega;ctZz1;2533274892320729;0;0;0;0;15;15
9;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;86;86
9;TheSego;The Sego;2533274801846949;0;0;0;0;100;100
9;low187;ShadowArceus5;2533274870566975;0;0;0;0;228;228
9;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;52;52
9;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;230;230
9;Zonky;Zonky;2535470751963594;0;0;0;0;43;43
9;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;17;17
9;Cyime;Cyime;2533274809898296;0;0;0;0;82;82
9;xJavontax;xJavontax;2533274819674251;0;0;0;0;5;5
9;Darthvader2795;Darthvader2795;2535442004967288;0;0;0;0;0;0
9;Neuro;Thhh gtt-8082;2535406877444637;0;0;0;0;0;0
9;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;164;164
