#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;UnveiledArk;UnveiledArk;2533274934249959;0;1000;1000;50;123;173
1;APOPHIS1989;APOPHIS1989;2533274792861176;0;1000;1000;50;176;226
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;190;240
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;86;136
5;DeusJabu;DeusJabu;2535431624153776;0;565;565;42;38;80
6;Shadowgasm;Shadowgasm;2736338880739054;0;265;265;40;18;58
7;CallMeCraig;matsze;2533274817036922;0;195;195;38;68;106
7;dscharles;dscharles;2533275014769270;0;195;195;38;26;64
9;binarymelon;binarymelon;2533274792088847;0;20;20;34;11;45
9;Sikamikanico;Sikamikanico;2599622463478870;0;20;20;34;23;57
11;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;95;95
11;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;132;132
11;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;120;120
11;judge;judge;2533274802991000;0;0;0;0;64;64
11;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;150;150
11;TangHao;Amir-8983;2535432952508207;0;0;0;0;57;57
11;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;152;152
11;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;116;116
11;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;136;136
11;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;158;158
11;Knottian;Knottian;2533274805216213;0;0;0;0;104;104
11;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;4;4
11;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;1;1
11;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;75;75
11;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;38;38
11;supercommodore;supercommodore;2533274982646378;0;0;0;0;4;4
11;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;62;62
11;profjjj;profjjj;2533274829351135;0;0;0;0;8;8
11;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;1;1
11;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;15;15
11;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;64;64
11;TheSego;The Sego;2533274801846949;0;0;0;0;65;65
11;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;39;39
11;Akosii;Akosii;2533274876129944;0;0;0;0;17;17
11;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
11;MMarfil;MMarfil;2533274884719422;0;0;0;0;4;4
11;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;26;26
11;low187;ShadowArceus5;2533274870566975;0;0;0;0;28;28
11;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;18;18
11;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;35;35
11;Zonky;Zonky;2535470751963594;0;0;0;0;0;0
11;Kreten;Cro Kreten;2690766741657668;0;0;0;0;59;59
11;michael;Rngesus37;2535419776788793;0;0;0;0;26;26
11;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;2;2
11;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;0;0
11;Mort;Mortaigne;2533274924850886;0;0;0;0;3;3
11;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;9;9
11;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;0;0
11;xJavontax;xJavontax;2533274819674251;0;0;0;0;1;1
11;Mark3;Mark 3;2533274791777168;0;0;0;0;1;1
11;n0tjack;n0tjack;2533274808155558;0;0;0;0;20;20
11;Xumbrega;ctZz1;2533274892320729;0;0;0;0;1;1
11;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
11;Cyime;Cyime;2533274809898296;0;0;0;0;0;0
