#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;0;1000;1000;50;354;404
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;316;366
1;BeardoN7x;BeardoA7x;2533274924115209;0;1000;1000;50;83;133
1;n0tjack;n0tjack;2533274808155558;0;1000;1000;50;81;131
1;Shadowgasm;Shadowgasm;2736338880739054;0;1000;1000;50;118;168
6;UnveiledArk;UnveiledArk;2533274934249959;0;615;615;40;338;378
7;DeusJabu;DeusJabu;2535431624153776;0;185;185;38;134;172
8;supercommodore;supercommodore;2533274982646378;0;147;147;36;7;43
9;Scottish_Sin;Scottish Sin;2533274798575633;0;146;146;34;73;107
10;TheSego;The Sego;2533274801846949;0;136;136;32;90;122
11;MasterLeePhD;Master Lee PhD;2533274793230093;0;100;100;30;365;395
12;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;87;87;28;302;330
13;BadMoodJones;Junglee91;2533275020457265;0;79;79;26;155;181
14;Running_Riot;BoutTreeFidy;2535457582061110;0;55;55;24;30;54
15;dscharles;dscharles;2533275014769270;0;44;44;22;90;112
16;FunkyOne;Sir Funkified;2533274831236982;0;31;31;20;95;115
17;BananaBox39;MaidenLOKO;2533274891998560;0;29;29;18;21;39
18;TheAshCohen09;TheAshCohen09;2533274856167909;0;22;22;16;260;276
19;NierlyCrazy;Nierly Crazy;2533274896685914;0;12;12;14;237;251
20;OneBadMutha;OneBadMutha;2728296738546254;0;8;8;12;44;56
21;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;303;303
21;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;446;446
21;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;328;328
21;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;235;235
21;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;290;290
21;Knottian;Knottian;2533274805216213;0;0;0;0;167;167
21;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;154;154
21;judge;judge;2533274802991000;0;0;0;0;84;84
21;CallMeCraig;matsze;2533274817036922;0;0;0;0;231;231
21;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;121;121
21;Kreten;Cro Kreten;2690766741657668;0;0;0;0;106;106
21;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;135;135
21;TangHao;Amir-8983;2535432952508207;0;0;0;0;63;63
21;low187;ShadowArceus5;2533274870566975;0;0;0;0;29;29
21;michael;Rngesus37;2535419776788793;0;0;0;0;28;28
21;binarymelon;binarymelon;2533274792088847;0;0;0;0;69;69
21;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;96;96
21;profjjj;profjjj;2533274829351135;0;0;0;0;75;75
21;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;70;70
21;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;105;105
21;Akosii;Akosii;2533274876129944;0;0;0;0;67;67
21;Mort;Mortaigne;2533274924850886;0;0;0;0;8;8
21;MMarfil;MMarfil;2533274884719422;0;0;0;0;9;9
21;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;6;6
21;xJavontax;xJavontax;2533274819674251;0;0;0;0;2;2
21;Xumbrega;ctZz1;2533274892320729;0;0;0;0;4;4
21;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;2;2
21;Mark3;Mark 3;2533274791777168;0;0;0;0;2;2
21;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
21;Zonky;Zonky;2535470751963594;0;0;0;0;1;1
21;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;0;0
21;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;0;0
21;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
21;Cyime;Cyime;2533274809898296;0;0;0;0;0;0
