#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;260;260;50;556;606
2;n0tjack;n0tjack;2533274808155558;0;20;20;48;247;295
2;DeusJabu;DeusJabu;2535431624153776;0;20;20;48;256;304
2;dscharles;dscharles;2533275014769270;0;20;20;48;120;168
5;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;744;744
5;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;676;676
5;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;507;507
5;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;582;582
5;Chyld989;Chyld989;2533274824150207;0;0;0;0;456;456
5;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;425;425
5;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;500;500
5;CallMeCraig;matsze;2533274817036922;0;0;0;0;367;367
5;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;170;170
5;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;441;441
5;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;272;272
5;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;354;354
5;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;264;264
5;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;161;161
5;Akosii;Akosii;2533274876129944;0;0;0;0;163;163
5;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;585;585
5;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;242;242
5;profjjj;profjjj;2533274829351135;0;0;0;0;93;93
5;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;187;187
5;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;217;217
5;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;335;335
5;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;100;100
5;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;183;183
5;Knottian;Knottian;2533274805216213;0;0;0;0;248;248
5;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;248;248
5;Kreten;Cro Kreten;2690766741657668;0;0;0;0;118;118
5;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;217;217
5;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;77;77
5;binarymelon;binarymelon;2533274792088847;0;0;0;0;105;105
5;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;20;20
5;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;41;41
5;Mort;Mortaigne;2533274924850886;0;0;0;0;72;72
5;MMarfil;MMarfil;2533274884719422;0;0;0;0;12;12
5;TheSego;The Sego;2533274801846949;0;0;0;0;126;126
5;Xumbrega;ctZz1;2533274892320729;0;0;0;0;83;83
5;supercommodore;supercommodore;2533274982646378;0;0;0;0;46;46
5;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;64;64
5;TangHao;Amir-8983;2535432952508207;0;0;0;0;65;65
5;Zonky;Zonky;2535470751963594;0;0;0;0;2;2
5;judge;judge;2533274802991000;0;0;0;0;219;219
5;low187;ShadowArceus5;2533274870566975;0;0;0;0;53;53
5;michael;Rngesus37;2535419776788793;0;0;0;0;28;28
5;xJavontax;xJavontax;2533274819674251;0;0;0;0;2;2
5;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;3;3
5;Mark3;Mark 3;2533274791777168;0;0;0;0;12;12
5;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
5;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;0;0
5;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;0;0
5;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
5;Cyime;Cyime;2533274809898296;0;0;0;0;0;0
