#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;745;795
1;SilentJay76;SilentJay76;2533274902322618;0;1000;1000;50;684;734
1;binarymelon;binarymelon;2533274792088847;0;1000;1000;50;166;216
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;577;627
5;ShadowlessEdge;Shadowless Edge;2535418358478334;0;20;20;42;860;902
5;judge;judge;2533274802991000;0;20;20;42;332;374
5;FunkyOne;Sir Funkified;2533274831236982;0;20;20;42;233;275
5;dscharles;dscharles;2533275014769270;0;20;20;42;201;243
9;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;984;984
9;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;810;810
9;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;589;589
9;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;778;778
9;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;635;635
9;n0tjack;n0tjack;2533274808155558;0;0;0;0;369;369
9;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;338;338
9;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;276;276
9;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;422;422
9;Mort;Mortaigne;2533274924850886;0;0;0;0;157;157
9;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;370;370
9;CallMeCraig;matsze;2533274817036922;0;0;0;0;507;507
9;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;652;652
9;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;461;461
9;Akosii;Akosii;2533274876129944;0;0;0;0;220;220
9;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;311;311
9;Xumbrega;ctZz1;2533274892320729;0;0;0;0;105;105
9;Knottian;Knottian;2533274805216213;0;0;0;0;321;321
9;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;269;269
9;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;459;459
9;low187;ShadowArceus5;2533274870566975;0;0;0;0;74;74
9;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;111;111
9;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;86;86
9;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;218;218
9;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;188;188
9;Kreten;Cro Kreten;2690766741657668;0;0;0;0;123;123
9;profjjj;profjjj;2533274829351135;0;0;0;0;95;95
9;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;21;21
9;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;182;182
9;TheSego;The Sego;2533274801846949;0;0;0;0;128;128
9;Mark3;Mark 3;2533274791777168;0;0;0;0;38;38
9;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;74;74
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;186;186
9;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;44;44
9;MMarfil;MMarfil;2533274884719422;0;0;0;0;24;24
9;supercommodore;supercommodore;2533274982646378;0;0;0;0;52;52
9;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;5;5
9;TangHao;Amir-8983;2535432952508207;0;0;0;0;67;67
9;Zonky;Zonky;2535470751963594;0;0;0;0;2;2
9;michael;Rngesus37;2535419776788793;0;0;0;0;28;28
9;xJavontax;xJavontax;2533274819674251;0;0;0;0;2;2
9;Foorbits;Foorbits;2624419068575218;0;0;0;0;4;4
9;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;0;0
9;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;0;0
9;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
9;Cyime;Cyime;2533274809898296;0;0;0;0;0;0
