#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;APOPHIS1989;APOPHIS1989;2533274792861176;0;1000;1000;50;1230;1280
1;SilentJay76;SilentJay76;2533274902322618;0;1000;1000;50;908;958
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;967;1017
1;NierlyCrazy;Nierly Crazy;2533274896685914;0;1000;1000;50;819;869
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;782;832
1;binarymelon;binarymelon;2533274792088847;0;1000;1000;50;290;340
1;BeardoN7x;BeardoA7x;2533274924115209;0;1000;1000;50;236;286
8;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;475;475;36;990;1026
9;UnveiledArk;UnveiledArk;2533274934249959;0;325;325;34;703;737
10;CallMeCraig;matsze;2533274817036922;0;175;175;32;600;632
11;Plagueborne;The Wicked Soul;2533274925208344;0;150;150;30;1038;1068
12;n0tjack;n0tjack;2533274808155558;0;50;50;28;410;438
12;FunkyOne;Sir Funkified;2533274831236982;0;50;50;28;333;361
12;profjjj;profjjj;2533274829351135;0;50;50;28;98;126
15;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;764;764
15;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;998;998
15;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;507;507
15;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;563;563
15;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;589;589
15;judge;judge;2533274802991000;0;0;0;0;500;500
15;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;463;463
15;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;424;424
15;Mort;Mortaigne;2533274924850886;0;0;0;0;234;234
15;Knottian;Knottian;2533274805216213;0;0;0;0;363;363
15;Akosii;Akosii;2533274876129944;0;0;0;0;282;282
15;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;414;414
15;dscharles;dscharles;2533275014769270;0;0;0;0;296;296
15;Mark3;Mark 3;2533274791777168;0;0;0;0;51;51
15;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;268;268
15;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;130;130
15;low187;ShadowArceus5;2533274870566975;0;0;0;0;89;89
15;Kreten;Cro Kreten;2690766741657668;0;0;0;0;155;155
15;supercommodore;supercommodore;2533274982646378;0;0;0;0;54;54
15;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;198;198
15;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;99;99
15;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;87;87
15;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;276;276
15;Xumbrega;ctZz1;2533274892320729;0;0;0;0;148;148
15;MMarfil;MMarfil;2533274884719422;0;0;0;0;25;25
15;Foorbits;Foorbits;2624419068575218;0;0;0;0;6;6
15;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;45;45
15;TheSego;The Sego;2533274801846949;0;0;0;0;129;129
15;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;8;8
15;xJavontax;xJavontax;2533274819674251;0;0;0;0;43;43
15;TangHao;Amir-8983;2535432952508207;0;0;0;0;68;68
15;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;276;276
15;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;218;218
15;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;59;59
15;Zonky;Zonky;2535470751963594;0;0;0;0;2;2
15;michael;Rngesus37;2535419776788793;0;0;0;0;28;28
15;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;0;0
15;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;2;2
15;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;1;1
15;Cyime;Cyime;2533274809898296;0;0;0;0;0;0
