#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;570;570;50;236;286
2;binarymelon;binarymelon;2533274792088847;0;460;460;48;77;125
3;Sikamikanico;Sikamikanico;2599622463478870;0;430;430;46;70;116
4;APOPHIS1989;APOPHIS1989;2533274792861176;0;95;95;44;454;498
5;Shadowgasm;Shadowgasm;2736338880739054;0;80;80;42;33;75
6;Scottish_Sin;Scottish Sin;2533274798575633;0;30;30;40;181;221
7;Mort;Mortaigne;2533274924850886;0;10;10;38;303;341
7;Bugalugs214;bugalugs214;2535471084374195;0;10;10;38;97;135
9;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;416;416
9;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;371;371
9;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;244;244
9;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;348;348
9;CallMeCraig;matsze;2533274817036922;0;0;0;0;354;354
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;344;344
9;n0tjack;n0tjack;2533274808155558;0;0;0;0;157;157
9;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;300;300
9;Chyld989;Chyld989;2533274824150207;0;0;0;0;198;198
9;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;148;148
9;Akosii;Akosii;2533274876129944;0;0;0;0;238;238
9;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;262;262
9;Knottian;Knottian;2533274805216213;0;0;0;0;184;184
9;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;124;124
9;judge;judge;2533274802991000;0;0;0;0;163;163
9;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;253;253
9;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;74;74
9;low187;ShadowArceus5;2533274870566975;0;0;0;0;141;141
9;dscharles;dscharles;2533275014769270;0;0;0;0;64;64
9;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;37;37
9;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;25;25
9;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;57;57
9;profjjj;profjjj;2533274829351135;0;0;0;0;57;57
9;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;70;70
9;Kreten;Cro Kreten;2690766741657668;0;0;0;0;18;18
9;MMarfil;MMarfil;2533274884719422;0;0;0;0;21;21
9;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;55;55
9;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;34;34
9;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;40;40
9;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;4;4
9;TheSego;The Sego;2533274801846949;0;0;0;0;4;4
9;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;8;8
9;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;6;6
9;TangHao;Amir-8983;2535432952508207;0;0;0;0;2;2
9;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;29;29
9;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;1;1
9;xJavontax;xJavontax;2533274819674251;0;0;0;0;1;1
9;Xumbrega;ctZz1;2533274892320729;0;0;0;0;0;0
9;Mark3;Mark 3;2533274791777168;0;0;0;0;0;0
9;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
9;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
9;supercommodore;supercommodore;2533274982646378;0;0;0;0;0;0
9;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;56;56
9;michael;Rngesus37;2535419776788793;0;0;0;0;0;0
