#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;0;1000;1000;50;512;562
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;368;418
3;UnveiledArk;UnveiledArk;2533274934249959;0;315;315;46;75;121
4;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;100;100;44;539;583
5;APOPHIS1989;APOPHIS1989;2533274792861176;0;70;70;42;758;800
5;dscharles;dscharles;2533275014769270;0;70;70;42;69;111
7;n0tjack;n0tjack;2533274808155558;0;55;55;38;181;219
8;DeusJabu;DeusJabu;2535431624153776;0;50;50;36;193;229
9;Mort;Mortaigne;2533274924850886;0;35;35;34;529;563
9;Knottian;Knottian;2533274805216213;0;35;35;34;330;364
9;OneBadMutha;OneBadMutha;2728296738546254;0;35;35;34;37;71
9;Bugalugs214;bugalugs214;2535471084374195;0;35;35;34;170;204
13;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;712;712
13;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;465;465
13;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;468;468
13;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;566;566
13;CallMeCraig;matsze;2533274817036922;0;0;0;0;562;562
13;Akosii;Akosii;2533274876129944;0;0;0;0;426;426
13;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;452;452
13;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;448;448
13;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;239;239
13;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;242;242
13;judge;judge;2533274802991000;0;0;0;0;234;234
13;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;338;338
13;low187;ShadowArceus5;2533274870566975;0;0;0;0;189;189
13;binarymelon;binarymelon;2533274792088847;0;0;0;0;213;213
13;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;308;308
13;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;49;49
13;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;162;162
13;profjjj;profjjj;2533274829351135;0;0;0;0;64;64
13;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;33;33
13;FunkyOne;Sir Funkified;2533274831236982;0;0;0;0;113;113
13;Kreten;Cro Kreten;2690766741657668;0;0;0;0;25;25
13;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;106;106
13;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;58;58
13;TheSego;The Sego;2533274801846949;0;0;0;0;6;6
13;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;50;50
13;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;29;29
13;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;22;22
13;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;194;194
13;xJavontax;xJavontax;2533274819674251;0;0;0;0;2;2
13;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;8;8
13;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;2;2
13;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;75;75
13;MMarfil;MMarfil;2533274884719422;0;0;0;0;24;24
13;TangHao;Amir-8983;2535432952508207;0;0;0;0;2;2
13;Xumbrega;ctZz1;2533274892320729;0;0;0;0;1;1
13;Mark3;Mark 3;2533274791777168;0;0;0;0;29;29
13;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
13;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
13;supercommodore;supercommodore;2533274982646378;0;0;0;0;0;0
13;michael;Rngesus37;2535419776788793;0;0;0;0;0;0
