#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;APOPHIS1989;APOPHIS1989;2533274792861176;601457;614373;12916;50;1038;1088
2;NierlyCrazy;Nierly Crazy;2533274896685914;593766;601800;8034;48;796;844
3;Plagueborne;The Wicked Soul;2533274925208344;1476126;1482951;6825;46;892;938
4;ShadowlessEdge;Shadowless Edge;2535418358478334;1044381;1050596;6215;44;782;826
5;FairyEmpire;baboy1337;2533274848211122;587851;592861;5010;42;427;469
6;Chyld989;Chyld989;2533274824150207;563630;568295;4665;40;654;694
7;MasterLeePhD;Master Lee PhD;2533274793230093;514084;516964;2880;38;650;688
8;judge;judge;2533274802991000;543719;546314;2595;36;400;436
9;CallMeCraig;matsze;2533274817036922;367438;369993;2555;34;694;728
10;Akosii;Akosii;2533274876129944;447976;450496;2520;32;582;614
11;RoslindaleOne;RoslindaleOne;2594261035379451;432260;434630;2370;30;396;426
12;TheAshCohen09;TheAshCohen09;2533274856167909;276676;278811;2135;28;505;533
13;Scottish_Sin;Scottish Sin;2533274798575633;638889;640964;2075;26;466;492
14;Knottian;Knottian;2533274805216213;267024;269039;2015;24;488;512
15;Mort;Mortaigne;2533274924850886;257333;259218;1885;22;652;674
16;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;997205;999040;1835;20;708;728
17;n0tjack;n0tjack;2533274808155558;262145;263364;1219;18;285;303
18;SilentJay76;SilentJay76;2533274902322618;501312;502492;1180;16;556;572
19;UnveiledArk;UnveiledArk;2533274934249959;546990;548125;1135;14;161;175
20;SheepDip;Ryuukishi634;2533274841110750;517100;518200;1100;12;412;424
21;DanCasual;SR1 Dan;2533274803840524;232701;233626;925;10;88;98
22;Bugalugs214;bugalugs214;2535471084374195;602485;603330;845;8;250;258
23;binarymelon;binarymelon;2533274792088847;57906;58711;805;6;282;288
23;dscharles;dscharles;2533275014769270;95955;96760;805;6;125;131
25;OneBadMutha;OneBadMutha;2728296738546254;75734;76509;775;2;115;117
26;profjjj;profjjj;2533274829351135;168175;168915;740;1;90;91
27;Sikamikanico;Sikamikanico;2599622463478870;161762;162501;739;1;194;195
28;BrigadiersBlue;Brigadiers Blue;2533274916311937;187140;187875;735;1;494;495
29;DeusJabu;DeusJabu;2535431624153776;235895;236570;675;1;277;278
30;TheSlickTony;TheSlickTony;2533275010815429;133818;134368;550;1;89;90
31;FunkyOne;Sir Funkified;2533274831236982;280131;280677;546;1;201;202
32;low187;ShadowArceus5;2533274870566975;304033;304513;480;1;224;225
33;BigM_Milk4;BigMMilk-9208;2533274975549845;72024;72474;450;1;229;230
34;Kreten;Cro Kreten;2690766741657668;285538;285943;405;1;30;31
35;MrZweistein;MrZweistein;2533274796780325;173615;173995;380;1;12;13
36;dfunktjester;dFunkt jestEr;2533274829581469;143457;143807;350;1;58;59
36;Xumbrega;ctZz1;2533274892320729;166744;167094;350;1;4;5
38;Mark3;Mark 3;2533274791777168;195325;195630;305;1;33;34
39;PhantomFox;PhantomFox75;2535436728258152;85999;86239;240;1;53;54
40;BeardoN7x;BeardoA7x;2533274924115209;149194;149389;195;1;75;76
41;xJavontax;xJavontax;2533274819674251;53643;53833;190;1;3;4
42;TangHao;Amir-8983;2535432952508207;88727;88857;130;1;4;5
43;Running_Riot;BoutTreeFidy;2535457582061110;62185;62290;105;1;31;32
44;MMarfil;MMarfil;2533274884719422;113598;113678;80;1;27;28
45;BadMoodJones;Junglee91;2533275020457265;170511;170571;60;1;108;109
46;TheSego;The Sego;2533274801846949;169735;169735;0;0;7;7
46;BananaBox39;MaidenLOKO;2533274891998560;213683;213683;0;0;2;2
46;Shadowgasm;Shadowgasm;2736338880739054;439560;439560;0;0;75;75
46;Foorbits;Foorbits;2624419068575218;52428;52428;0;0;0;0
46;brunopcosta1;brunopcosta1;2535437287890796;289213;289213;0;0;0;0
46;supercommodore;supercommodore;2533274982646378;42100;42100;0;0;0;0
46;michael;Rngesus37;2535419776788793;50287;50287;0;0;0;0
