#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;600;650
2;Chyld989;Chyld989;2533274824150207;0;820;820;48;606;654
3;FunkyOne;Sir Funkified;2533274831236982;0;60;60;46;155;201
4;judge;judge;2533274802991000;0;15;15;44;356;400
4;SheepDip;Ryuukishi634;2533274841110750;0;15;15;44;368;412
6;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;892;892
6;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;0;0;0;708;708
6;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;796;796
6;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;1038;1038
6;CallMeCraig;matsze;2533274817036922;0;0;0;0;694;694
6;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;782;782
6;Akosii;Akosii;2533274876129944;0;0;0;0;582;582
6;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;396;396
6;Mort;Mortaigne;2533274924850886;0;0;0;0;652;652
6;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;427;427
6;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;556;556
6;Knottian;Knottian;2533274805216213;0;0;0;0;488;488
6;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;466;466
6;binarymelon;binarymelon;2533274792088847;0;0;0;0;282;282
6;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;75;75
6;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;494;494
6;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;229;229
6;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;277;277
6;low187;ShadowArceus5;2533274870566975;0;0;0;0;224;224
6;Mark3;Mark 3;2533274791777168;0;0;0;0;33;33
6;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;194;194
6;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;108;108
6;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;250;250
6;n0tjack;n0tjack;2533274808155558;0;0;0;0;285;285
6;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;88;88
6;Kreten;Cro Kreten;2690766741657668;0;0;0;0;30;30
6;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;505;505
6;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;89;89
6;dscharles;dscharles;2533275014769270;0;0;0;0;125;125
6;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;161;161
6;profjjj;profjjj;2533274829351135;0;0;0;0;90;90
6;MMarfil;MMarfil;2533274884719422;0;0;0;0;27;27
6;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;58;58
6;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;115;115
6;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;53;53
6;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;12;12
6;Xumbrega;ctZz1;2533274892320729;0;0;0;0;4;4
6;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;31;31
6;TheSego;The Sego;2533274801846949;0;0;0;0;7;7
6;xJavontax;xJavontax;2533274819674251;0;0;0;0;3;3
6;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;2;2
6;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;75;75
6;TangHao;Amir-8983;2535432952508207;0;0;0;0;4;4
6;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
6;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;0;0
6;supercommodore;supercommodore;2533274982646378;0;0;0;0;0;0
6;michael;Rngesus37;2535419776788793;0;0;0;0;0;0
