#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;125;125;50;820;870
2;MasterLeePhD;Master Lee PhD;2533274793230093;0;115;115;48;751;799
2;Scottish_Sin;Scottish Sin;2533274798575633;0;115;115;48;596;644
4;RoslindaleOne;RoslindaleOne;2594261035379451;0;100;100;44;528;572
5;FunkyOne;Sir Funkified;2533274831236982;0;55;55;42;221;263
6;OneBadMutha;OneBadMutha;2728296738546254;0;35;35;40;140;180
7;Mort;Mortaigne;2533274924850886;0;15;15;38;759;797
8;xJavontax;xJavontax;2533274819674251;0;5;5;36;6;42
9;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;1270;1270
9;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;910;910
9;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1076;1076
9;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;986;986
9;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;569;569
9;Chyld989;Chyld989;2533274824150207;0;0;0;0;866;866
9;judge;judge;2533274802991000;0;0;0;0;440;440
9;CallMeCraig;matsze;2533274817036922;0;0;0;0;862;862
9;Akosii;Akosii;2533274876129944;0;0;0;0;746;746
9;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;609;609
9;Knottian;Knottian;2533274805216213;0;0;0;0;654;654
9;n0tjack;n0tjack;2533274808155558;0;0;0;0;384;384
9;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;611;611
9;UnveiledArk;UnveiledArk;2533274934249959;0;0;0;0;296;296
9;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;506;506
9;DanCasual;SR1 Dan;2533274803840524;0;0;0;0;121;121
9;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;302;302
9;binarymelon;binarymelon;2533274792088847;0;0;0;0;331;331
9;dscharles;dscharles;2533275014769270;0;0;0;0;195;195
9;profjjj;profjjj;2533274829351135;0;0;0;0;147;147
9;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;209;209
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;504;504
9;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;312;312
9;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;110;110
9;low187;ShadowArceus5;2533274870566975;0;0;0;0;261;261
9;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;232;232
9;Kreten;Cro Kreten;2690766741657668;0;0;0;0;34;34
9;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;74;74
9;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;88;88
9;Xumbrega;ctZz1;2533274892320729;0;0;0;0;39;39
9;Mark3;Mark 3;2533274791777168;0;0;0;0;36;36
9;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;97;97
9;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;79;79
9;TangHao;Amir-8983;2535432952508207;0;0;0;0;17;17
9;Running_Riot;BoutTreeFidy;2535457582061110;0;0;0;0;33;33
9;MMarfil;MMarfil;2533274884719422;0;0;0;0;29;29
9;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;110;110
9;TheSego;The Sego;2533274801846949;0;0;0;0;14;14
9;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;2;2
9;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;75;75
9;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
9;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;1;1
9;supercommodore;supercommodore;2533274982646378;0;0;0;0;0;0
9;michael;Rngesus37;2535419776788793;0;0;0;0;0;0
