#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;1106;1156
1;Scottish_Sin;Scottish Sin;2533274798575633;0;1000;1000;50;800;850
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;936;986
4;TheSlickTony;TheSlickTony;2533275010815429;0;950;950;44;214;258
5;Sikamikanico;Sikamikanico;2599622463478870;0;700;700;42;291;333
6;DeusJabu;DeusJabu;2535431624153776;0;620;620;40;510;550
7;profjjj;profjjj;2533274829351135;0;590;590;38;195;233
7;OneBadMutha;OneBadMutha;2728296738546254;0;590;590;38;220;258
9;Mark3;Mark 3;2533274791777168;0;550;550;34;49;83
10;UnveiledArk;UnveiledArk;2533274934249959;0;540;540;32;358;390
11;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;0;510;510;30;1122;1152
12;DanCasual;SR1 Dan;2533274803840524;0;490;490;28;197;225
13;xJavontax;xJavontax;2533274819674251;0;480;480;26;90;116
13;MMarfil;MMarfil;2533274884719422;0;480;480;26;47;73
15;n0tjack;n0tjack;2533274808155558;0;430;430;22;466;488
16;binarymelon;binarymelon;2533274792088847;0;410;410;20;386;406
17;RoslindaleOne;RoslindaleOne;2594261035379451;0;350;350;18;716;734
18;low187;ShadowArceus5;2533274870566975;0;300;300;16;338;354
19;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;210;210;14;541;555
20;CallMeCraig;matsze;2533274817036922;0;120;120;12;1102;1114
21;ShadowlessEdge;Shadowless Edge;2535418358478334;0;110;110;10;1170;1180
21;TheAshCohen09;TheAshCohen09;2533274856167909;0;110;110;10;672;682
23;Plagueborne;The Wicked Soul;2533274925208344;0;80;80;6;1271;1277
23;FunkyOne;Sir Funkified;2533274831236982;0;80;80;6;273;279
25;Bugalugs214;bugalugs214;2535471084374195;0;60;60;2;330;332
26;supercommodore;supercommodore;2533274982646378;0;50;50;1;4;5
27;Knottian;Knottian;2533274805216213;0;30;30;1;848;849
27;dscharles;dscharles;2533275014769270;0;30;30;1;219;220
29;Mort;Mortaigne;2533274924850886;0;20;20;1;821;822
29;Running_Riot;BoutTreeFidy;2535457582061110;0;20;20;1;48;49
31;APOPHIS1989;APOPHIS1989;2533274792861176;0;10;10;1;1452;1453
32;Akosii;Akosii;2533274876129944;0;0;0;0;934;934
32;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;747;747
32;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;705;705
32;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;695;695
32;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;117;117
32;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;156;156
32;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;935;935
32;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;109;109
32;Xumbrega;ctZz1;2533274892320729;0;0;0;0;40;40
32;TangHao;Amir-8983;2535432952508207;0;0;0;0;42;42
32;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;80;80
32;judge;judge;2533274802991000;0;0;0;0;507;507
32;TheSego;The Sego;2533274801846949;0;0;0;0;15;15
32;Kreten;Cro Kreten;2690766741657668;0;0;0;0;36;36
32;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;191;191
32;brunopcosta1;brunopcosta1;2535437287890796;0;0;0;0;3;3
32;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;235;235
32;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;2;2
32;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;75;75
32;Foorbits;Foorbits;2624419068575218;0;0;0;0;0;0
32;michael;Rngesus37;2535419776788793;0;0;0;0;0;0
