#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;1000;1000;50;74;124
1;Bugalugs214;bugalugs214;2535471084374195;0;1000;1000;50;32;82
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;172;222
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;1000;1000;50;158;208
1;CallMeCraig;matsze;2533274817036922;0;1000;1000;50;56;106
1;NierlyCrazy;Nierly Crazy;2533274896685914;0;1000;1000;50;0;50
1;SheepDip;Ryuukishi634;2533274841110750;0;1000;1000;50;162;212
1;SilentJay76;SilentJay76;2533274902322618;0;1000;1000;50;54;104
1;Plagueborne;The Wicked Soul;2533274925208344;0;1000;1000;50;18;68
10;DeusJabu;DeusJabu;2535431624153776;0;920;920;32;110;142
11;TheAshCohen09;TheAshCohen09;2533274856167909;0;670;670;30;118;148
12;APOPHIS1989;APOPHIS1989;2533274792861176;0;210;210;28;132;160
12;profjjj;profjjj;2533274829351135;0;210;210;28;96;124
14;Akosii;Akosii;2533274876129944;0;0;0;0;144;144
14;TangHao;Amir-8983;2535432952508207;0;0;0;0;1;1
14;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;162;162
14;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;0;0
14;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;2;2
14;binarymelon;binarymelon;2533274792088847;0;0;0;0;128;128
14;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;26;26
14;dscharles;dscharles;2533275014769270;0;0;0;0;20;20
14;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;4;4
14;Knottian;Knottian;2533274805216213;0;0;0;0;138;138
14;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;10;10
14;Mark3;Mark 3;2533274791777168;0;0;0;0;28;28
14;MMarfil;MMarfil;2533274884719422;0;0;0;0;34;34
14;Mort;Mortaigne;2533274924850886;0;0;0;0;8;8
14;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;58;58
14;n0tjack;n0tjack;2533274808155558;0;0;0;0;24;24
14;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;44;44
14;PhantomFox;PhantomFox75;2535436728258152;0;0;0;0;78;78
14;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;92;92
14;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;86;86
14;low187;ShadowArceus5;2533274870566975;0;0;0;0;48;48
14;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;0;0
14;ShadowlessEdge;Shadowless Edge;2535418358478334;0;0;0;0;192;192
14;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;30;30
14;supercommodore;supercommodore;2533274982646378;0;0;0;0;0;0
14;TheSego;The Sego;2533274801846949;0;0;0;0;0;0
14;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;94;94
