#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;n0tjack;n0tjack;2533274808155558;0;715;715;50;59;109
2;TheSlickTony;TheSlickTony;2533275010815429;0;640;640;48;256;304
3;profjjj;profjjj;2533274829351135;0;625;625;46;212;258
4;dscharles;dscharles;2533275014769270;0;310;310;44;63;107
5;Sikamikanico;Sikamikanico;2599622463478870;0;210;210;42;62;104
6;MrZweistein;MrZweistein;2533274796780325;0;135;135;40;111;151
7;Scottish_Sin;Scottish Sin;2533274798575633;0;120;120;38;163;201
8;MasterLeePhD;Master Lee PhD;2533274793230093;0;105;105;36;438;474
8;Plagueborne;The Wicked Soul;2533274925208344;0;105;105;36;286;322
10;SheepDip;Ryuukishi634;2533274841110750;0;90;90;32;374;406
10;Knottian;Knottian;2533274805216213;0;90;90;32;258;290
12;RoslindaleOne;RoslindaleOne;2594261035379451;0;75;75;28;223;251
13;CallMeCraig;matsze;2533274817036922;0;60;60;26;216;242
13;Mark3;Mark 3;2533274791777168;0;60;60;26;32;58
13;NierlyCrazy;Nierly Crazy;2533274896685914;0;60;60;26;86;112
16;OneBadMutha;OneBadMutha;2728296738546254;0;45;45;20;73;93
16;MMarfil;MMarfil;2533274884719422;0;45;45;20;44;64
18;APOPHIS1989;APOPHIS1989;2533274792861176;0;15;15;16;376;392
18;DeusJabu;DeusJabu;2535431624153776;0;15;15;16;250;266
18;Bugalugs214;bugalugs214;2535471084374195;0;15;15;16;137;153
21;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;434;434
21;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;398;398
21;Chyld989;Chyld989;2533274824150207;0;0;0;0;376;376
21;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;199;199
21;Akosii;Akosii;2533274876129944;0;0;0;0;338;338
21;binarymelon;binarymelon;2533274792088847;0;0;0;0;258;258
21;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;123;123
21;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;141;141
21;low187;ShadowArceus5;2533274870566975;0;0;0;0;79;79
21;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;86;86
21;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;204;204
21;Mort;Mortaigne;2533274924850886;0;0;0;0;35;35
21;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
21;TangHao;Amir-8983;2535432952508207;0;0;0;0;3;3
21;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;13;13
21;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;63;63
21;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;0;0
21;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;0;0
21;supercommodore;supercommodore;2533274982646378;0;0;0;0;6;6
21;TheSego;The Sego;2533274801846949;0;0;0;0;0;0
