#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;BeardoN7x;BeardoA7x;2533274924115209;0;825;825;50;88;138
2;APOPHIS1989;APOPHIS1989;2533274792861176;0;815;815;48;606;654
3;DeusJabu;DeusJabu;2535431624153776;0;745;745;46;400;446
4;n0tjack;n0tjack;2533274808155558;0;685;685;44;289;333
5;MasterLeePhD;Master Lee PhD;2533274793230093;0;240;240;42;722;764
5;Mark3;Mark 3;2533274791777168;0;240;240;42;132;174
7;Sikamikanico;Sikamikanico;2599622463478870;0;75;75;38;149;187
8;Bugalugs214;bugalugs214;2535471084374195;0;55;55;36;264;300
9;OneBadMutha;OneBadMutha;2728296738546254;0;40;40;34;125;159
10;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;558;558
10;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;724;724
10;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;568;568
10;Akosii;Akosii;2533274876129944;0;0;0;0;532;532
10;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;462;462
10;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;343;343
10;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;614;614
10;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;95;95
10;CallMeCraig;matsze;2533274817036922;0;0;0;0;408;408
10;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;330;330
10;Chyld989;Chyld989;2533274824150207;0;0;0;0;536;536
10;Knottian;Knottian;2533274805216213;0;0;0;0;418;418
10;binarymelon;binarymelon;2533274792088847;0;0;0;0;374;374
10;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;220;220
10;profjjj;profjjj;2533274829351135;0;0;0;0;273;273
10;dscharles;dscharles;2533275014769270;0;0;0;0;195;195
10;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;359;359
10;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;216;216
10;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;91;91
10;Mort;Mortaigne;2533274924850886;0;0;0;0;97;97
10;low187;ShadowArceus5;2533274870566975;0;0;0;0;188;188
10;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;15;15
10;MMarfil;MMarfil;2533274884719422;0;0;0;0;78;78
10;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;142;142
10;supercommodore;supercommodore;2533274982646378;0;0;0;0;10;10
10;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;185;185
10;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;250;250
10;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
10;TangHao;Amir-8983;2535432952508207;0;0;0;0;3;3
10;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;0;0
10;TheSego;The Sego;2533274801846949;0;0;0;0;0;0
