#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;DeusJabu;DeusJabu;2535431624153776;0;800;800;50;643;693
2;Mark3;Mark 3;2533274791777168;0;710;710;48;202;250
3;TangHao;Amir-8983;2535432952508207;0;550;550;46;262;308
3;n0tjack;n0tjack;2533274808155558;0;550;550;46;607;653
3;OneBadMutha;OneBadMutha;2728296738546254;0;550;550;46;268;314
6;Sikamikanico;Sikamikanico;2599622463478870;0;530;530;40;318;358
7;low187;ShadowArceus5;2533274870566975;0;340;340;38;334;372
8;TheSego;The Sego;2533274801846949;0;260;260;36;117;153
9;MasterLeePhD;Master Lee PhD;2533274793230093;0;230;230;34;1062;1096
10;dscharles;dscharles;2533275014769270;0;180;180;32;362;394
10;MMarfil;MMarfil;2533274884719422;0;180;180;32;163;195
12;ShadowlessEdge;ShadowlessAU;2535418358478334;0;120;120;28;1228;1256
12;Scottish_Sin;Scottish Sin;2533274798575633;0;120;120;28;639;667
14;Knottian;Knottian;2533274805216213;0;90;90;24;624;648
15;TheAshCohen09;TheAshCohen09;2533274856167909;0;60;60;22;553;575
16;APOPHIS1989;APOPHIS1989;2533274792861176;0;20;20;20;963;983
16;profjjj;profjjj;2533274829351135;0;20;20;20;333;353
18;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1018;1018
18;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;588;588
18;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;901;901
18;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;1024;1024
18;CallMeCraig;matsze;2533274817036922;0;0;0;0;746;746
18;Chyld989;Chyld989;2533274824150207;0;0;0;0;824;824
18;Akosii;Akosii;2533274876129944;0;0;0;0;826;826
18;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;393;393
18;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;547;547
18;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;420;420
18;binarymelon;binarymelon;2533274792088847;0;0;0;0;537;537
18;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;79;79
18;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;396;396
18;Mort;Mortaigne;2533274924850886;0;0;0;0;211;211
18;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;22;22
18;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;394;394
18;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;521;521
18;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;215;215
18;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;116;116
18;supercommodore;supercommodore;2533274982646378;0;0;0;0;18;18
18;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;95;95
18;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;143;143
18;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
