#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;ShadowlessAU;2535418358478334;0;1000;1000;50;1228;1278
2;Chyld989;Chyld989;2533274824150207;0;770;770;48;824;872
3;NierlyCrazy;Nierly Crazy;2533274896685914;0;580;580;46;588;634
4;MMarfil;MMarfil;2533274884719422;0;535;535;44;163;207
5;profjjj;profjjj;2533274829351135;0;505;505;42;333;375
6;binarymelon;binarymelon;2533274792088847;0;490;490;40;537;577
6;DeusJabu;DeusJabu;2535431624153776;0;490;490;40;643;683
6;OneBadMutha;OneBadMutha;2728296738546254;0;490;490;40;268;308
9;Knottian;Knottian;2533274805216213;0;475;475;34;624;658
10;TangHao;Amir-8983;2535432952508207;0;445;445;32;262;294
11;CallMeCraig;matsze;2533274817036922;0;195;195;30;746;776
12;SheepDip;Ryuukishi634;2533274841110750;0;180;180;28;1024;1052
13;n0tjack;n0tjack;2533274808155558;0;135;135;26;607;633
13;Sikamikanico;Sikamikanico;2599622463478870;0;135;135;26;318;344
15;Plagueborne;The Wicked Soul;2533274925208344;0;120;120;22;1018;1040
15;dscharles;dscharles;2533275014769270;0;120;120;22;362;384
17;TheAshCohen09;TheAshCohen09;2533274856167909;0;75;75;18;553;571
18;MrZweistein;MrZweistein;2533274796780325;0;60;60;16;420;436
19;MasterLeePhD;Master Lee PhD;2533274793230093;0;45;45;14;1062;1076
19;BadMoodJones;Junglee91;2533275020457265;0;45;45;14;22;36
21;Bugalugs214;bugalugs214;2535471084374195;0;30;30;10;396;406
22;APOPHIS1989;APOPHIS1989;2533274792861176;0;15;15;8;963;971
22;TheSego;The Sego;2533274801846949;0;15;15;8;117;125
24;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;901;901
24;Akosii;Akosii;2533274876129944;0;0;0;0;826;826
24;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;639;639
24;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;393;393
24;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;547;547
24;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;79;79
24;low187;ShadowArceus5;2533274870566975;0;0;0;0;334;334
24;Mort;Mortaigne;2533274924850886;0;0;0;0;211;211
24;Mark3;Mark 3;2533274791777168;0;0;0;0;202;202
24;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;394;394
24;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;521;521
24;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;215;215
24;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;116;116
24;supercommodore;supercommodore;2533274982646378;0;0;0;0;18;18
24;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;95;95
24;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;143;143
24;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
