#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;n0tjack;n0tjack;2533274808155558;0;640;640;50;847;897
2;dscharles;dscharles;2533275014769270;0;260;260;48;443;491
3;Scottish_Sin;Scottish Sin;2533274798575633;0;200;200;46;846;892
4;DeusJabu;DeusJabu;2535431624153776;0;50;50;44;789;833
5;ShadowlessEdge;ShadowlessAU;2535418358478334;0;40;40;42;1494;1536
6;APOPHIS1989;APOPHIS1989;2533274792861176;0;10;10;40;1225;1265
6;Akosii;Akosii;2533274876129944;0;10;10;40;944;984
6;Sikamikanico;Sikamikanico;2599622463478870;0;10;10;40;407;447
6;Bugalugs214;bugalugs214;2535471084374195;0;10;10;40;400;440
10;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;1103;1103
10;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;787;787
10;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1236;1236
10;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;269;269
10;TangHao;Amir-8983;2535432952508207;0;0;0;0;434;434
10;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;1190;1190
10;Mort;Mortaigne;2533274924850886;0;0;0;0;300;300
10;CallMeCraig;matsze;2533274817036922;0;0;0;0;896;896
10;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;735;735
10;low187;ShadowArceus5;2533274870566975;0;0;0;0;550;550
10;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;676;676
10;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;1194;1194
10;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;432;432
10;Knottian;Knottian;2533274805216213;0;0;0;0;728;728
10;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;497;497
10;Chyld989;Chyld989;2533274824150207;0;0;0;0;996;996
10;profjjj;profjjj;2533274829351135;0;0;0;0;387;387
10;TheSego;The Sego;2533274801846949;0;0;0;0;185;185
10;Mark3;Mark 3;2533274791777168;0;0;0;0;284;284
10;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;570;570
10;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;320;320
10;binarymelon;binarymelon;2533274792088847;0;0;0;0;579;579
10;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;452;452
10;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;191;191
10;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;286;286
10;MMarfil;MMarfil;2533274884719422;0;0;0;0;234;234
10;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;187;187
10;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;52;52
10;supercommodore;supercommodore;2533274982646378;0;0;0;0;24;24
10;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;95;95
10;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;12;12
