#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;CallMeCraig;matsze;2533274817036922;0;740;740;50;172;222
2;n0tjack;n0tjack;2533274808155558;0;470;470;48;124;172
3;SheepDip;Ryuukishi634;2533274841110750;0;170;170;46;78;124
4;dscharles;dscharles;2533275014769270;0;30;30;44;118;162
5;Bugalugs214;bugalugs214;2535471084374195;0;20;20;42;8;50
6;APOPHIS1989;APOPHIS1989;2533274792861176;0;10;10;40;91;131
6;TheAshCohen09;TheAshCohen09;2533274856167909;0;10;10;40;50;90
8;Chyld989;Chyld989;2533274824150207;0;0;0;0;84;84
8;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;160;160
8;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;46;46
8;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;122;122
8;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;180;180
8;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;194;194
8;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;0;0
8;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;128;128
8;low187;ShadowArceus5;2533274870566975;0;0;0;0;70;70
8;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;92;92
8;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;40;40
8;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;130;130
8;Knottian;Knottian;2533274805216213;0;0;0;0;90;90
8;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;88;88
8;Akosii;Akosii;2533274876129944;0;0;0;0;126;126
8;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;58;58
8;TangHao;Amir-8983;2535432952508207;0;0;0;0;0;0
8;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;0;0
8;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;44;44
8;TheSego;The Sego;2533274801846949;0;0;0;0;0;0
8;Mort;Mortaigne;2533274924850886;0;0;0;0;82;82
8;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;49;49
8;binarymelon;binarymelon;2533274792088847;0;0;0;0;58;58
8;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;16;16
8;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;8;8
8;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;5;5
8;MMarfil;MMarfil;2533274884719422;0;0;0;0;30;30
8;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;20;20
8;supercommodore;supercommodore;2533274982646378;0;0;0;0;0;0
8;profjjj;profjjj;2533274829351135;0;0;0;0;42;42
8;Mark3;Mark 3;2533274791777168;0;0;0;0;1;1
8;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;14;14
8;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;0;0
