#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;MasterLeePhD;Master Lee PhD;2533274793230093;0;114;114;50;272;322
2;Knottian;Knottian;2533274805216213;0;23;23;48;244;292
3;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;416;416
3;CallMeCraig;matsze;2533274817036922;0;0;0;0;492;492
3;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;342;342
3;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;340;340
3;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;374;374
3;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;404;404
3;Akosii;Akosii;2533274876129944;0;0;0;0;310;310
3;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;183;183
3;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;264;264
3;dscharles;dscharles;2533275014769270;0;0;0;0;232;232
3;n0tjack;n0tjack;2533274808155558;0;0;0;0;324;324
3;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;292;292
3;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;254;254
3;Chyld989;Chyld989;2533274824150207;0;0;0;0;246;246
3;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;60;60
3;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;198;198
3;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;260;260
3;Mort;Mortaigne;2533274924850886;0;0;0;0;286;286
3;low187;ShadowArceus5;2533274870566975;0;0;0;0;188;188
3;profjjj;profjjj;2533274829351135;0;0;0;0;56;56
3;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;86;86
3;binarymelon;binarymelon;2533274792088847;0;0;0;0;96;96
3;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;85;85
3;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;71;71
3;MMarfil;MMarfil;2533274884719422;0;0;0;0;37;37
3;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;95;95
3;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;59;59
3;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;15;15
3;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;17;17
3;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;38;38
3;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;115;115
3;Mark3;Mark 3;2533274791777168;0;0;0;0;58;58
3;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;0;0
3;TangHao;Amir-8983;2535432952508207;0;0;0;0;8;8
3;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;0;0
3;TheSego;The Sego;2533274801846949;0;0;0;0;12;12
3;supercommodore;supercommodore;2533274982646378;0;0;0;0;12;12
3;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;0;0
