#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;n0tjack;n0tjack;2533274808155558;0;725;725;50;498;548
2;NierlyCrazy;Nierly Crazy;2533274896685914;0;110;110;48;568;616
3;Bugalugs214;bugalugs214;2535471084374195;0;60;60;46;169;215
4;dscharles;dscharles;2533275014769270;0;55;55;44;292;336
5;CallMeCraig;matsze;2533274817036922;0;15;15;42;686;728
6;OneBadMutha;OneBadMutha;2728296738546254;0;5;5;40;99;139
7;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;494;494
7;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;606;606
7;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;638;638
7;Mort;Mortaigne;2533274924850886;0;0;0;0;410;410
7;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;512;512
7;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;340;340
7;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;486;486
7;Chyld989;Chyld989;2533274824150207;0;0;0;0;418;418
7;Knottian;Knottian;2533274805216213;0;0;0;0;486;486
7;Akosii;Akosii;2533274876129944;0;0;0;0;438;438
7;low187;ShadowArceus5;2533274870566975;0;0;0;0;256;256
7;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;408;408
7;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;374;374
7;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;338;338
7;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;362;362
7;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;141;141
7;Mark3;Mark 3;2533274791777168;0;0;0;0;68;68
7;binarymelon;binarymelon;2533274792088847;0;0;0;0;104;104
7;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;66;66
7;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;151;151
7;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;114;114
7;TangHao;Amir-8983;2535432952508207;0;0;0;0;61;61
7;supercommodore;supercommodore;2533274982646378;0;0;0;0;25;25
7;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;72;72
7;TheSego;The Sego;2533274801846949;0;0;0;0;13;13
7;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;228;228
7;profjjj;profjjj;2533274829351135;0;0;0;0;57;57
7;MMarfil;MMarfil;2533274884719422;0;0;0;0;86;86
7;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;102;102
7;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;21;21
7;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;17;17
7;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;0;0
7;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;0;0
7;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;0;0
