#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;FairyEmpire;baboy1337;2533274848211122;649124;651874;2750;50;468;518
2;MasterLeePhD;Master Lee PhD;2533274793230093;549208;550878;1670;48;376;424
3;Knottian;Knottian;2533274805216213;284750;286100;1350;46;364;410
4;CallMeCraig;matsze;2533274817036922;401083;401758;675;44;576;620
5;Sikamikanico;Sikamikanico;2599622463478870;171493;172063;570;42;324;366
6;Plagueborne;The Wicked Soul;2533274925208344;1538576;1539081;505;40;498;538
7;Scottish_Sin;Scottish Sin;2533274798575633;660284;660659;375;38;252;290
8;ShadowlessEdge;ShadowlessAU;2535418358478334;1122886;1123252;366;36;424;460
9;Akosii;Akosii;2533274876129944;476781;477106;325;34;368;402
10;MrZweistein;MrZweistein;2533274796780325;183185;183415;230;32;300;332
11;n0tjack;n0tjack;2533274808155558;279609;279834;225;30;380;410
12;NierlyCrazy;Nierly Crazy;2533274896685914;634948;635123;175;28;488;516
13;Mort;Mortaigne;2533274924850886;269028;269178;150;26;340;366
14;Chyld989;Chyld989;2533274824150207;595630;595745;115;24;322;346
15;TheSlickTony;TheSlickTony;2533275010815429;144073;144183;110;22;111;133
16;PhantomFox;PhantomFox75-460;2535436728258152;92909;93009;100;20;60;80
17;TheAshCohen09;TheAshCohen09;2533274856167909;313596;313681;85;18;394;412
18;BadMoodJones;Junglee91;2533275020457265;173976;174056;80;16;107;123
19;SheepDip;Ryuukishi634;2533274841110750;543075;543150;75;14;278;292
20;BeardoN7x;BeardoA7x;2533274924115209;159524;159594;70;12;54;66
21;Bugalugs214;bugalugs214;2535471084374195;608440;608500;60;10;157;167
22;MMarfil;MMarfil;2533274884719422;116168;116218;50;8;54;62
23;dscharles;dscharles;2533275014769270;104960;105000;40;6;246;252
24;RoslindaleOne;RoslindaleOne;2594261035379451;444350;444365;15;4;86;90
25;low187;ShadowArceus5;2533274870566975;314771;314781;10;2;234;236
26;OneBadMutha;OneBadMutha;2728296738546254;80269;80269;0;0;93;93
26;TangHao;Amir-8983;2535432952508207;97782;97782;0;0;35;35
26;SilentJay76;SilentJay76;2533274902322618;517412;517412;0;0;320;320
26;Mark3;Mark 3;2533274791777168;199075;199075;0;0;68;68
26;TheSego;The Sego;2533274801846949;171980;171980;0;0;13;13
26;supercommodore;supercommodore;2533274982646378;42500;42500;0;0;13;13
26;binarymelon;binarymelon;2533274792088847;66621;66621;0;0;104;104
26;APOPHIS1989;APOPHIS1989;2533274792861176;676233;676233;0;0;184;184
26;dfunktjester;dFunkt jestEr;2533274829581469;146787;146787;0;0;72;72
26;profjjj;profjjj;2533274829351135;174325;174325;0;0;57;57
26;DeusJabu;DeusJabu;2535431624153776;247605;247605;0;0;17;17
26;BigM_Milk4;BigMMilk-9208;2533274975549845;74194;74194;0;0;15;15
26;Shadowgasm;Shadowgasm;2736338880739054;443400;443400;0;0;0;0
26;BrigadiersBlue;Brigadiers Blue;2533274916311937;195060;195060;0;0;0;0
26;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;0;0
