#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;CallMeCraig;matsze;2533274817036922;0;1000;1000;50;880;930
1;Chyld989;Chyld989;2533274824150207;0;1000;1000;50;592;642
1;Mort;Mortaigne;2533274924850886;0;1000;1000;50;570;620
1;J_F0LEY;J F0LEY;2533274910784399;0;1000;1000;50;0;50
5;MrZweistein;MrZweistein;2533274796780325;0;750;750;42;520;562
6;DeusJabu;DeusJabu;2535431624153776;0;625;625;40;43;83
7;Sikamikanico;Sikamikanico;2599622463478870;0;550;550;38;506;544
8;n0tjack;n0tjack;2533274808155558;0;225;225;36;760;796
9;dscharles;dscharles;2533275014769270;0;150;150;34;436;470
10;BadMoodJones;Junglee91;2533275020457265;0;75;75;32;175;207
11;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;888;888
11;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;812;812
11;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;580;580
11;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;646;646
11;Knottian;Knottian;2533274805216213;0;0;0;0;630;630
11;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;676;676
11;Akosii;Akosii;2533274876129944;0;0;0;0;620;620
11;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;496;496
11;APOPHIS1989;APOPHIS1989;2533274792861176;0;0;0;0;258;258
11;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;754;754
11;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;516;516
11;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;211;211
11;MMarfil;MMarfil;2533274884719422;0;0;0;0;114;114
11;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;263;263
11;TangHao;Amir-8983;2535432952508207;0;0;0;0;77;77
11;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;108;108
11;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;165;165
11;low187;ShadowArceus5;2533274870566975;0;0;0;0;302;302
11;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;187;187
11;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;67;67
11;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;439;439
11;supercommodore;supercommodore;2533274982646378;0;0;0;0;28;28
11;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;22;22
11;Mark3;Mark 3;2533274791777168;0;0;0;0;68;68
11;binarymelon;binarymelon;2533274792088847;0;0;0;0;104;104
11;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;72;72
11;TheSego;The Sego;2533274801846949;0;0;0;0;13;13
11;profjjj;profjjj;2533274829351135;0;0;0;0;57;57
11;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;14;14
11;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;0;0
11;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;0;0
