#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;n0tjack;n0tjack;2533274808155558;0;40;40;50;1038;1088
2;APOPHIS1989;APOPHIS1989;2533274792861176;0;10;10;48;427;475
3;Plagueborne;The Wicked Soul;2533274925208344;0;0;0;0;1156;1156
3;ShadowlessEdge;ShadowlessAU;2535418358478334;0;0;0;0;946;946
3;FairyEmpire;baboy1337;2533274848211122;0;0;0;0;974;974
3;Akosii;Akosii;2533274876129944;0;0;0;0;820;820
3;Mort;Mortaigne;2533274924850886;0;0;0;0;748;748
3;CallMeCraig;matsze;2533274817036922;0;0;0;0;1094;1094
3;Chyld989;Chyld989;2533274824150207;0;0;0;0;826;826
3;MrZweistein;MrZweistein;2533274796780325;0;0;0;0;692;692
3;SheepDip;Ryuukishi634;2533274841110750;0;0;0;0;720;720
3;NierlyCrazy;Nierly Crazy;2533274896685914;0;0;0;0;810;810
3;Scottish_Sin;Scottish Sin;2533274798575633;0;0;0;0;688;688
3;Sikamikanico;Sikamikanico;2599622463478870;0;0;0;0;678;678
3;DeusJabu;DeusJabu;2535431624153776;0;0;0;0;145;145
3;Knottian;Knottian;2533274805216213;0;0;0;0;766;766
3;SilentJay76;SilentJay76;2533274902322618;0;0;0;0;535;535
3;TheSlickTony;TheSlickTony;2533275010815429;0;0;0;0;439;439
3;RoslindaleOne;RoslindaleOne;2594261035379451;0;0;0;0;309;309
3;dscharles;dscharles;2533275014769270;0;0;0;0;620;620
3;TheAshCohen09;TheAshCohen09;2533274856167909;0;0;0;0;640;640
3;MasterLeePhD;Master Lee PhD;2533274793230093;0;0;0;0;662;662
3;Shadowgasm;Shadowgasm;2736338880739054;0;0;0;0;160;160
3;BadMoodJones;Junglee91;2533275020457265;0;0;0;0;213;213
3;Bugalugs214;bugalugs214;2535471084374195;0;0;0;0;267;267
3;low187;ShadowArceus5;2533274870566975;0;0;0;0;332;332
3;OneBadMutha;OneBadMutha;2728296738546254;0;0;0;0;234;234
3;TangHao;Amir-8983;2535432952508207;0;0;0;0;86;86
3;binarymelon;binarymelon;2533274792088847;0;0;0;0;113;113
3;J_F0LEY;J F0LEY;2533274910784399;0;0;0;0;217;217
3;Mark3;Mark 3;2533274791777168;0;0;0;0;73;73
3;PhantomFox;PhantomFox75-460;2535436728258152;0;0;0;0;158;158
3;MMarfil;MMarfil;2533274884719422;0;0;0;0;118;118
3;BeardoN7x;BeardoA7x;2533274924115209;0;0;0;0;67;67
3;supercommodore;supercommodore;2533274982646378;0;0;0;0;52;52
3;BigM_Milk4;BigMMilk-9208;2533274975549845;0;0;0;0;22;22
3;dfunktjester;dFunkt jestEr;2533274829581469;0;0;0;0;72;72
3;TheSego;The Sego;2533274801846949;0;0;0;0;29;29
3;profjjj;profjjj;2533274829351135;0;0;0;0;73;73
3;BrigadiersBlue;Brigadiers Blue;2533274916311937;0;0;0;0;0;0
3;BananaBox39;MaidenLOKO;2533274891998560;0;0;0;0;0;0
