|#|User|Gamertag|XUID|Initial GS|Final GS|Gains|Points|
| --- | --- | --- | --- | --- | --- | --- | --- |
|1.|brunopcosta1|brunopcosta1|2535437287890796|206695|217150|10455|10|
|2.|Shadowgasm|Shadowgasm|2736338880739054|278765|286715|7950|9|
|3.|SheepDip|Ryuukishi634|2533274841110750|357520|360235|2715|8|
|4.|CRZYSPZ|CRZYSPZ|2533274896685914|394980|397360|2380|7|
|5.|CallMeCraig|matsze|2533274817036922|206455|208760|2305|6|
|6.|Akosii|Akosii|2533274876129944|325220|327040|1820|5|
|7.|BeardoN7x|BeardoA7x|2533274924115209|86055|87800|1745|4|
|8.|Plagueborne|The Wicked Soul|2533274925208344|745802|747452|1650|3|
|9.|KARMAgoesHARD|KARMAgoesHARD|2533274793280369|608329|609949|1620|2|
|10.|Chyld989|Chyld989|2533274824150207|360085|361405|1320|1|
|11.|FairyEmpire|baboy1337|2533274848211122|377870|378975|1105|0|
|12.|BrigadiersBlue|Brigadiers Blue|2533274916311937|53188|54038|850|0|
|13.|Knottian|Knottian|2533274805216213|207460|208290|830|0|
|14.|Scottish_Sin|Scottish Sin|2533274798575633|527470|528125|655|0|
|15.|TheSego|The Sego|2533274801846949|147128|147623|495|0|
|15.|MasterLeePhD|Master Lee PhD|2533274793230093|307954|308449|495|0|
|17.|dfunktjester|dFunkt jestEr|2533274829581469|106247|106687|440|0|
|18.|n0tjack|n0tjack|2533274808155558|163417|163852|435|0|
|19.|dscharles|dscharles|2533275014769270|55670|56015|345|0|
|20.|Mort|Mortaigne|2533274924850886|145427|145757|330|0|
|21.|BananaBox39|MaidenLOKO|2533274891998560|183205|183525|320|0|
|22.|FunkyOne|Sir Funkified|2533274831236982|232533|232833|300|0|
|22.|PhantomFox|PhantomFox75-460|2535436728258152|52072|52372|300|0|
|24.|Sikamikanico|Sikamikanico|2599622463478870|124516|124806|290|0|
|25.|BadMoodJones|Junglee91|2533275020457265|93106|93386|280|0|
|26.|Bluehawk357|BlueHawk357|2533274876723326|111233|111483|250|0|
|27.|Xumbrega|ctZz1|2533274892320729|150750|150985|235|0|
|28.|MrZweistein|MrZweistein|2533274796780325|128890|129110|220|0|
|29.|Running_Riot|BoutTreeFidy-208|2535457582061110|36040|36225|185|0|
|30.|Bugalugs214|bugalugs214|2535471084374195|125505|125660|155|0|
|31.|xJavontax|xJavontax|2533274819674251|40224|40364|140|0|
|32.|DeusJabu|DeusJabu|2535431624153776|159129|159239|110|0|
|33.|MMarfil|MMarfil|2533274884719422|97224|97329|105|0|
|34.|low187|ShadowArceus5|2533274870566975|227895|227995|100|0|
|34.|OneBadMutha|OneBadMutha|2728296738546254|47548|47648|100|0|
|36.|supercommodore|supercommodore|2533274982646378|19517|19547|30|0|
|36.|TheSlickTony|TheSlickTony|2533275010815429|102622|102652|30|0|
|38.|Foorbits|Foorbits|2624419068575218|48308|48308|0|0|
|39.|APOPHIS1989|APOPHIS1989|2533274792861176|294923|294923|0|0|

